annotation_id	instance_id	selected_region_record	review_mode	region_count	exact_entity_regions	fallback_regions	unmatched_regions	final_coverage	changed_regions	match_evidence
GT-014	pylint-dev__pylint-6528	annotator_B	exclusive_protocol_review	5	2	3	0	covered	pylint/lint/expand_modules.py::pylint.lint.expand_modules.expand_modules(files_or_modules, ignore_list, ignore_list_re, ignore_list_paths_re) | pylint/lint/pylinter.py::pylint.lintlinter.PyLinter._discover_files(files_or_modules) | pylint/lint/expand_modules.py::pylint.lint.expand_modules._is_in_ignore_list_re(element, ignore_list_re) | pylint/lint/expand_modules.py::pylint.lint.expand_modules._is_ignored_file(element,ignore_list,ignore_list_re,ignore_list_paths_re,) | pylint/lint/pylinter.py::pylint.lintlinter.PyLinter.initialize(self)	exact_entity:expand_modules | exact_entity:PyLinter._discover_files | explicit_file_fallback:pylint/lint/expand_modules.py | explicit_file_fallback:pylint/lint/expand_modules.py | explicit_file_fallback:pylint/lint/pylinter.py
GT-015	pytest-dev__pytest-10051	annotator_A	exclusive_protocol_review	2	1	1	0	covered	src/_pytest/logging.py::_pytest.logging.LogCaptureHandler.clear | src/_pytest/logging.py::_pytest.logging.LogCaptureFixture.clear	explicit_file_fallback:src/_pytest/logging.py | exact_entity:LogCaptureFixture.clear
GT-016	scikit-learn__scikit-learn-14629	annotator_B	exclusive_protocol_review	5	1	4	0	covered	sklearn/multioutput.py::scikit-learn.sklearn.multioutput._BaseChain.fit(self, X, Y) | sklearn/multioutput.py::scikit-learn.sklearn.multioutput.predict_proba(self, X) | sklearn/multioutput.py::scikit-learn.sklearn.multioutput.__init__(self, estimator, n_jobs) | sklearn/multioutput.py::scikit-learn.sklearn.multioutput.fit(self, X, Y, sample_weight) | sklearn/multioutput.py::scikit-learn.sklearn.multioutput.MultiOutputClassifier	exact_entity:_BaseChain.fit | explicit_file_fallback:sklearn/multioutput.py | explicit_file_fallback:sklearn/multioutput.py | explicit_file_fallback:sklearn/multioutput.py | explicit_file_fallback:sklearn/multioutput.py
GT-017	sphinx-doc__sphinx-7748	annotator_A	exclusive_protocol_review	5	4	1	0	covered	sphinx/ext/autodoc/__init__.py::sphinx.ext.autodoc.init.DocstringSignatureMixin | sphinx/ext/autodoc/__init__.py::sphinx.ext.autodoc.init.DocstringSignatureMixin._find_signature | sphinx/ext/autodoc/__init__.py::sphinx.ext.autodoc.init.DocstringSignatureMixin.get_doc | sphinx/ext/autodoc/__init__.py::sphinx.ext.autodoc.init.DocstringSignatureMixin.format_signature | sphinx/ext/autodoc/__init__.py::sphinx.ext.autodoc.init.FunctionDocumenter.format_signature	explicit_file_fallback:sphinx/ext/autodoc/__init__.py | exact_entity:DocstringSignatureMixin._find_signature | exact_entity:DocstringSignatureMixin.get_doc | exact_entity:DocstringSignatureMixin.format_signature | exact_entity:FunctionDocumenter.format_signature
GT-018	sympy__sympy-19346	annotator_A	exclusive_protocol_review	2	0	2	0	covered	sympy/printing/repr.py::sympy.printing.repr.ReprPrinter._print_dict | sympy/printing/repr.py::sympy.printing.repr.ReprPrinter._print_set	explicit_file_fallback:sympy/printing/repr.py | explicit_file_fallback:sympy/printing/repr.py
GT-019	astropy__astropy-8872	annotator_B	exclusive_protocol_review	2	1	1	0	covered	astropy/units/quantity.py::astropy.units.quantity.Quantity.__new__(cls, value, unit, dtype, copy, order, subok, ndmin) | astropy/units/quantity.py::astropy.units.quantity.Quantity	exact_entity:Quantity.__new__ | explicit_file_fallback:astropy/units/quantity.py
GT-020	django__django-11149	annotator_A	exclusive_protocol_review	5	4	1	0	covered	django/contrib/admin/options.py::django.contrib.admin.options.InlineModelAdmin._has_any_perms_for_target_model | django/contrib/admin/options.py::django.contrib.admin.options.InlineModelAdmin.has_add_permission | django/contrib/admin/options.py::django.contrib.admin.options.InlineModelAdmin.has_change_permission | django/contrib/admin/options.py::django.contrib.admin.options.InlineModelAdmin.has_delete_permission | django/contrib/admin/options.py::django.contrib.admin.options.InlineModelAdmin.has_view_permission	explicit_file_fallback:django/contrib/admin/options.py | exact_entity:InlineModelAdmin.has_add_permission | exact_entity:InlineModelAdmin.has_change_permission | exact_entity:InlineModelAdmin.has_delete_permission | exact_entity:InlineModelAdmin.has_view_permission
GT-021	matplotlib__matplotlib-26466	annotator_A	shared_evidence_adjudication	4	4	0	0	covered	lib/matplotlib/text.py::matplotlib.text.OffsetFrom.init | lib/matplotlib/text.py::matplotlib.text.OffsetFrom._get_scale | lib/matplotlib/text.py::matplotlib.text.OffsetFrom.call | lib/matplotlib/text.py::matplotlib.text._AnnotationBase.init	exact_entity:OffsetFrom.__init__ | exact_entity:OffsetFrom._get_scale | exact_entity:OffsetFrom.__call__ | exact_entity:_AnnotationBase.__init__
GT-022	pytest-dev__pytest-6197	annotator_A	exclusive_protocol_review	4	4	0	0	covered	src/_pytest/python.py::_pytest.python.Module.init | src/_pytest/python.py::_pytest.python.Package.collect | src/_pytest/python.py::_pytest.python.PyobjMixin._mount_obj_if_needed | src/_pytest/python.py::_pytest.python.PyobjMixin.obj	exact_entity:Module.__init__ | exact_entity:Package.collect | exact_entity:PyobjMixin._mount_obj_if_needed | exact_entity:PyobjMixin.obj
GT-023	scikit-learn__scikit-learn-12682	annotator_B	exclusive_protocol_review	16	13	3	0	covered	examples/decomposition/plot_sparse_coding.py::examples.decomposition.plot_sparse_coding.ricker_function(resolution, center, width) | sklearn/decomposition/dict_learning.py::scikit-learn.sklearn.decomposition.dict_learning.DictionaryLearning.__init__(self, n_components, alpha, max_iter, tol, fit_algorithm, transform_algorithm, transform_n_nonzero_coefs, transform_alpha, n_jobs, code_init, dict_init, verbose, split_sign, random_state, positive_code, positive_dict) | sklearn/decomposition/dict_learning.py::scikit-learn.sklearn.decomposition.dict_learning.DictionaryLearning.fit(self, X, y) | sklearn/decomposition/dict_learning.py::scikit-learn.sklearn.decomposition.dict_learning.MiniBatchDictionaryLearning.__init__(self, n_components, alpha, n_iter, fit_algorithm, n_jobs, batch_size, shuffle, dict_init, transform_algorithm, transform_n_nonzero_coefs, transform_alpha, verbose, split_sign, random_state, positive_code, positive_dict) | sklearn/decomposition/dict_learning.py::scikit-learn.sklearn.decomposition.dict_learning.MiniBatchDictionaryLearning.fit(self, X, y) | sklearn/decomposition/dict_learning.py::scikit-learn.sklearn.decomposition.dict_learning.MiniBatchDictionaryLearning.partial_fit(self, X, y, iter_offset) | sklearn/decomposition/dict_learning.py::scikit-learn.sklearn.decomposition.dict_learning.SparseCoder.__init__(self, dictionary, transform_algorithm, transform_n_nonzero_coefs, transform_alpha, split_sign, n_jobs, positive_code) | sklearn/decomposition/dict_learning.py::scikit-learn.sklearn.decomposition.dict_learning.SparseCodingMixin._set_sparse_coding_params(self, n_components, transform_algorithm, transform_n_nonzero_coefs, transform_alpha, split_sign, n_jobs, positive_code) | sklearn/decomposition/dict_learning.py::scikit-learn.sklearn.decomposition.dict_learning.SparseCodingMixin.transform(self, X) | sklearn/decomposition/dict_learning.py::sklearn.decomposition.dict_learning._sparse_encode(X, dictionary, gram, cov, algorithm, regularization, copy_cov, init, max_iter, check_input, verbose, positive) | sklearn/decomposition/dict_learning.py::sklearn.decomposition.dict_learning.dict_learning(X, n_components, alpha, max_iter, tol, method, n_jobs, dict_init, code_init, callback, verbose, random_state, return_n_iter, positive_dict, positive_code) | sklearn/decomposition/dict_learning.py::sklearn.decomposition.dict_learning.dict_learning_online(X, n_components, alpha, n_iter, return_code, dict_init, callback, batch_size, verbose, shuffle, n_jobs, method, iter_offset, random_state, return_inner_stats, inner_stats, return_n_iter, positive_dict, positive_code) | sklearn/decomposition/dict_learning.py::sklearn.decomposition.dict_learning.sparse_encode(X, dictionary, gram, cov, algorithm, n_nonzero_coefs, alpha, copy_cov, init, max_iter, n_jobs, check_input, verbose, positive) | sklearn/decomposition/dict_learning.py::scikit-learn.sklearn.decomposition.dict_learning.DictionaryLearning | sklearn/decomposition/dict_learning.py::scikit-learn.sklearn.decomposition.dict_learning.MiniBatchDictionaryLearning | sklearn/decomposition/dict_learning.py::scikit-learn.sklearn.decomposition.dict_learning.SparseCoder	exact_entity:ricker_function | exact_entity:DictionaryLearning.__init__ | exact_entity:DictionaryLearning.fit | exact_entity:MiniBatchDictionaryLearning.__init__ | exact_entity:MiniBatchDictionaryLearning.fit | exact_entity:MiniBatchDictionaryLearning.partial_fit | exact_entity:SparseCoder.__init__ | exact_entity:SparseCodingMixin._set_sparse_coding_params | exact_entity:SparseCodingMixin.transform | exact_entity:_sparse_encode | exact_entity:dict_learning | exact_entity:dict_learning_online | exact_entity:sparse_encode | explicit_file_fallback:sklearn/decomposition/dict_learning.py | explicit_file_fallback:sklearn/decomposition/dict_learning.py | explicit_file_fallback:sklearn/decomposition/dict_learning.py
GT-024	sphinx-doc__sphinx-9229	annotator_A	shared_evidence_adjudication	3	2	1	0	covered	sphinx/ext/autodoc/__init__.py::sphinx.ext.autodoc.init.ClassDocumenter.get_doc | sphinx/ext/autodoc/__init__.py::sphinx.ext.autodoc.init.ClassDocumenter.get_variable_comment | sphinx/ext/autodoc/__init__.py::sphinx.ext.autodoc.init.ClassDocumenter.add_content	exact_entity:ClassDocumenter.get_doc | explicit_file_fallback:sphinx/ext/autodoc/__init__.py | exact_entity:ClassDocumenter.add_content
GT-025	astropy__astropy-14598	annotator_B	exclusive_protocol_review	2	2	0	0	covered	astropy/io/fits/card.py::astropy.io.fits.card.Card._split(self) | astropy/io/fits/card.py::astropy.io.fits.card.Card._strg_comment_RE = re.compile(f"({_strg})? *{_comm_field}?")	exact_entity:Card._split | exact_entity:Card._strg_comment_RE
GT-026	django__django-11138	annotator_A	exclusive_protocol_review	13	13	0	0	covered	django/db/backends/mysql/operations.py::django.db.backends.mysql.operations.DatabaseOperations._convert_field_to_tz | django/db/backends/oracle/operations.py::django.db.backends.oracle.operations.DatabaseOperations._convert_field_to_tz | django/db/backends/sqlite3/base.py::django.db.backends.sqlite3.base.DatabaseWrapper.get_new_connection | django/db/backends/sqlite3/base.py::django.db.backends.sqlite3.base._sqlite_datetime_parse | django/db/backends/sqlite3/base.py::django.db.backends.sqlite3.base._sqlite_datetime_cast_date | django/db/backends/sqlite3/base.py::django.db.backends.sqlite3.base._sqlite_datetime_cast_time | django/db/backends/sqlite3/base.py::django.db.backends.sqlite3.base._sqlite_datetime_extract | django/db/backends/sqlite3/base.py::django.db.backends.sqlite3.base._sqlite_datetime_trunc | django/db/backends/sqlite3/operations.py::django.db.backends.sqlite3.operations.DatabaseOperations._convert_tzname_to_sql | django/db/backends/sqlite3/operations.py::django.db.backends.sqlite3.operations.DatabaseOperations.datetime_cast_date_sql | django/db/backends/sqlite3/operations.py::django.db.backends.sqlite3.operations.DatabaseOperations.datetime_cast_time_sql | django/db/backends/sqlite3/operations.py::django.db.backends.sqlite3.operations.DatabaseOperations.datetime_extract_sql | django/db/backends/sqlite3/operations.py::django.db.backends.sqlite3.operations.DatabaseOperations.datetime_trunc_sql	exact_entity:DatabaseOperations._convert_field_to_tz | exact_entity:DatabaseOperations._convert_field_to_tz | exact_entity:DatabaseWrapper.get_new_connection | exact_entity:_sqlite_datetime_parse | exact_entity:_sqlite_datetime_cast_date | exact_entity:_sqlite_datetime_cast_time | exact_entity:_sqlite_datetime_extract | exact_entity:_sqlite_datetime_trunc | exact_entity:DatabaseOperations._convert_tzname_to_sql | exact_entity:DatabaseOperations.datetime_cast_date_sql | exact_entity:DatabaseOperations.datetime_cast_time_sql | exact_entity:DatabaseOperations.datetime_extract_sql | exact_entity:DatabaseOperations.datetime_trunc_sql
GT-027	matplotlib__matplotlib-26208	annotator_A	shared_evidence_adjudication	2	2	0	0	covered	lib/matplotlib/axes/_base.py::matplotlib.axes._base._AxesBase.twinx | lib/matplotlib/axes/_base.py::matplotlib.axes._base._AxesBase.twiny	exact_entity:_AxesBase.twinx | exact_entity:_AxesBase.twiny
GT-028	mwaskom__seaborn-3187	annotator_A	shared_evidence_adjudication	2	2	0	0	covered	seaborn/_core/scales.py::seaborn._core.scales.ContinuousBase._setup | seaborn/utils.py::seaborn.utils.locator_to_legend_entries	exact_entity:ContinuousBase._setup | exact_entity:locator_to_legend_entries
GT-029	psf__requests-2931	annotator_A	shared_evidence_adjudication	2	2	0	0	covered	requests/models.py::requests.models.RequestEncodingMixin._encode_params | requests/models.py::requests.models.PreparedRequest.prepare_url	exact_entity:RequestEncodingMixin._encode_params | exact_entity:PreparedRequest.prepare_url
GT-030	pydata__xarray-3993	annotator_A	shared_evidence_adjudication	2	2	0	0	covered	xarray/core/dataarray.py::xarray.core.dataarray.DataArray.integrate | xarray/core/dataset.py::xarray.core.dataset.Dataset.integrate	exact_entity:DataArray.integrate | exact_entity:Dataset.integrate
GT-031	pylint-dev__pylint-4604	annotator_A	exclusive_protocol_review	3	1	2	0	covered	pylint/checkers/variables.py::pylint.checkers.variables.VariablesChecker._store_type_annotation_node | pylint/constants.py::模块级导入 | pylint/constants.py::pylint.constants.IS_PYPY	exact_entity:VariablesChecker._store_type_annotation_node | explicit_file_fallback:pylint/constants.py | explicit_file_fallback:pylint/constants.py
GT-032	pytest-dev__pytest-7324	annotator_B	exclusive_protocol_review	4	2	2	0	covered	src/_pytest/mark/expression.py::src._pytest.mark.expression.reject(self, expected) | src/_pytest/mark/expression.py::pytest.src._pytest.mark.expression.MatcherAdapter.__iter__(self) | src/_pytest/mark/expression.py::pytest.src._pytest.mark.expression.MatcherAdapter.__getitem__(self, key) | src/_pytest/mark/expression.py::src._pytest.mark.expression.not_expr(s)	explicit_file_fallback:src/_pytest/mark/expression.py | explicit_file_fallback:src/_pytest/mark/expression.py | exact_entity:MatcherAdapter.__getitem__ | exact_entity:not_expr
GT-033	scikit-learn__scikit-learn-10297	annotator_A	exclusive_protocol_review	3	1	2	0	covered	sklearn/linear_model/ridge.py::sklearn.linear_model.ridge.RidgeCV | sklearn/linear_model/ridge.py::sklearn.linear_model.ridge.RidgeClassifierCV | sklearn/linear_model/ridge.py::sklearn.linear_model.ridge.RidgeClassifierCV.init	explicit_file_fallback:sklearn/linear_model/ridge.py | explicit_file_fallback:sklearn/linear_model/ridge.py | exact_entity:RidgeClassifierCV.__init__
GT-034	sphinx-doc__sphinx-7590	annotator_B	exclusive_protocol_review	11	6	5	0	covered	sphinx/domains/cpp.py::sphinx.domains.cpp.ASTThisLiteral._stringify(self, transform) | sphinx/domains/cpp.py::sphinx.domains.cpp.ASTUserDefinedLiteral(ASTLiteral) | sphinx/domains/cpp.py::sphinx.domains.cpp.ASTThisLiteral(ASTExpression) | sphinx/domains/c.py::sphinx.domains.c.DefinitionParser._parse_literal(self) | sphinx/domains/cpp.py::sphinx.domains.cpp.ASTCharLiteral.get_id(self, version) | sphinx/domains/cpp.py::sphinx.domains.cpp.ASTIdentifier.describe_signature(self, signode, mode, env, prefix, templateArgs, symbol) | sphinx/domains/cpp.py::sphinx.domains.cpp.ASTNumberLiteral.get_id(self, version) | sphinx/domains/cpp.py::sphinx.domains.cpp.DefinitionParser._parse_literal(self) | sphinx/util/cfamily.py::sphinx.util.cfamily.binary_literal_re = re.compile(r'0[bB][01][01]*') | sphinx/util/cfamily.py::sphinx.util.cfamily.float_literal_re = re.compile(r'''(?x) [+-]?( # decimal ([0-9]+[eE][+-]?[0-9]+) | ([0-9]*\.[0-9]+([eE][+-]?[0-9]+)?) | ([0-9]+\.([eE][+-]?[0-9]+)?) # hex | (0[xX][0-9a-fA-F]+[pP][+-]?[0-9a-fA-F]+) | (0[xX][0-9a-fA-F]*\.[0-9a-fA-F]+([pP][+-]?[0-9a-fA-F]+)?) | (0[xX][0-9a-fA-F]+\.([pP][+-]?[0-9a-fA-F]+)?) ) ''') | sphinx/util/cfamily.py::sphinx.util.cfamily.verify_description_mode(mode)	explicit_file_fallback:sphinx/domains/cpp.py | explicit_file_fallback:sphinx/domains/cpp.py | explicit_file_fallback:sphinx/domains/cpp.py | exact_entity:DefinitionParser._parse_literal | exact_entity:ASTCharLiteral.get_id | exact_entity:ASTIdentifier.describe_signature | exact_entity:ASTNumberLiteral.get_id | exact_entity:DefinitionParser._parse_literal | explicit_file_fallback:sphinx/util/cfamily.py | explicit_file_fallback:sphinx/util/cfamily.py | exact_entity:verify_description_mode
GT-035	sympy__sympy-21930	annotator_B	exclusive_protocol_review	3	3	0	0	covered	sympy/physics/secondquant.py::AntiSymmetricTensor._latex | sympy/physics/secondquant.py::CreateBoson._latex | sympy/physics/secondquant.py::CreateFermion._latex	exact_entity:AntiSymmetricTensor._latex | exact_entity:CreateBoson._latex | exact_entity:CreateFermion._latex
GT-036	astropy__astropy-14365	annotator_B	exclusive_protocol_review	2	2	0	0	covered	astropy/io/ascii/qdp.py::astropy.io.ascii.qdp._get_tables_from_qdp_file(qdp_file, input_colnames, delimiter) | astropy/io/ascii/qdp.py::astropy.io.ascii.qdp._line_type(line, delimiter)	exact_entity:_get_tables_from_qdp_file | exact_entity:_line_type
GT-037	django__django-13158	annotator_A	shared_evidence_adjudication	2	2	0	0	covered	django/db/models/sql/query.py::django.db.models.sql.query.Query.clone | django/db/models/sql/query.py::django.db.models.sql.query.Query.set_empty	exact_entity:Query.clone | exact_entity:Query.set_empty
GT-038	matplotlib__matplotlib-24870	annotator_A	exclusive_protocol_review	4	4	0	0	covered	lib/matplotlib/contour.py::matplotlib.contour.ContourSet._process_contour_level_args | lib/matplotlib/contour.py::matplotlib.contour.QuadContourSet._contour_args | lib/matplotlib/contour.py::matplotlib.contour.QuadContourSet._check_xyz | lib/matplotlib/tri/_tricontour.py::matplotlib.tri._tricontour.TriContourSet._contour_args	exact_entity:ContourSet._process_contour_level_args | exact_entity:QuadContourSet._contour_args | exact_entity:QuadContourSet._check_xyz | exact_entity:TriContourSet._contour_args
GT-039	mwaskom__seaborn-3069	annotator_A	shared_evidence_adjudication	3	2	1	0	covered	seaborn/_core/plot.py::模块级导入 | seaborn/_core/plot.py::seaborn._core.plot.Plotter._setup_scales | seaborn/_core/plot.py::seaborn._core.plot.Plotter._finalize_figure	explicit_file_fallback:seaborn/_core/plot.py | exact_entity:Plotter._setup_scales | exact_entity:Plotter._finalize_figure
GT-040	pydata__xarray-6938	annotator_B	exclusive_protocol_review	11	9	2	0	covered	xarray/core/dataset.py::xarray.core.dataset.Dataset.swap_dims(self, dims_dict) | xarray/core/variable.py::xarray.core.variable.IndexVariable.level_names(self) | xarray/core/variable.py::xarray.core.variable.IndexVariable.name(self) | xarray/core/variable.py::xarray.core.variable.IndexVariable.name(self, value) | xarray/core/variable.py::xarray.core.variable.IndexVariable.to_index(self) | xarray/core/variable.py::xarray.core.variable.IndexVariable.to_index_variable(self) | xarray/core/variable.py::xarray.core.variable.Variable.to_base_variable(self) | xarray/core/variable.py::xarray.core.variable.Variable.to_index(self) | xarray/core/variable.py::xarray.core.variable.Variable.to_index_variable(self) | xarray/core/variable.py::xarray.core.variable.Variable.value(self) | xarray/core/variable.py::xarray.core.variable.Variable._data_equals(self,other)	exact_entity:Dataset.swap_dims | exact_entity:IndexVariable.level_names | exact_entity:IndexVariable.name | exact_entity:IndexVariable.name | exact_entity:IndexVariable.to_index | exact_entity:IndexVariable.to_index_variable | exact_entity:Variable.to_base_variable | exact_entity:Variable.to_index | exact_entity:Variable.to_index_variable | explicit_file_fallback:xarray/core/variable.py | explicit_file_fallback:xarray/core/variable.py
GT-041	pylint-dev__pylint-4551	annotator_A	shared_evidence_adjudication	9	4	5	0	covered	pylint/pyreverse/diagrams.py::pylint.pyreverse.diagrams.ClassDiagram.class_names | pylint/pyreverse/inspector.py::pylint.pyreverse.inspector.Linker.visit_assignname | pylint/pyreverse/inspector.py::pylint.pyreverse.inspector.Linker.handle_assignattr_type | pylint/pyreverse/utils.py::模块级导入 | pylint/pyreverse/utils.py::pylint.pyreverse.utils.get_annotation_label | pylint/pyreverse/utils.py::pylint.pyreverse.utils.get_annotation | pylint/pyreverse/utils.py::pylint.pyreverse.utils.infer_node | pylint/pyreverse/writer.py::模块级导入 | pylint/pyreverse/writer.py::pylint.pyreverse.writer.DotWriter.get_values	exact_entity:ClassDiagram.class_names | exact_entity:Linker.visit_assignname | exact_entity:Linker.handle_assignattr_type | explicit_file_fallback:pylint/pyreverse/utils.py | explicit_file_fallback:pylint/pyreverse/utils.py | explicit_file_fallback:pylint/pyreverse/utils.py | explicit_file_fallback:pylint/pyreverse/utils.py | explicit_file_fallback:pylint/pyreverse/writer.py | exact_entity:DotWriter.get_values
GT-042	pytest-dev__pytest-8399	annotator_A	shared_evidence_adjudication	5	5	0	0	covered	src/_pytest/python.py::_pytest.python.Module._inject_setup_module_fixture | src/_pytest/python.py::_pytest.python.Module._inject_setup_function_fixture | src/_pytest/python.py::_pytest.python.Class._inject_setup_class_fixture | src/_pytest/python.py::_pytest.python.Class._inject_setup_method_fixture | src/_pytest/unittest.py::_pytest.unittest._make_xunit_fixture	exact_entity:Module._inject_setup_module_fixture | exact_entity:Module._inject_setup_function_fixture | exact_entity:Class._inject_setup_class_fixture | exact_entity:Class._inject_setup_method_fixture | exact_entity:_make_xunit_fixture
GT-043	astropy__astropy-14096	annotator_A	shared_evidence_adjudication	1	1	0	0	covered	astropy/coordinates/sky_coordinate.py::astropy.coordinates.sky_coordinate.SkyCoord.getattr	exact_entity:SkyCoord.__getattr__
