annotation_id	instance_id	candidate	review_mode	annotator_a_role	annotator_b_role	final_role	decision_basis
SUP-014	pytest-dev__pytest-10051	pytest.src._pytest.logging.LogCaptureFixture.handler	exclusive_protocol_review	weak		weak	补丁+行通过self.handler属性访问handler对象并调用clear()，但handler属性的内部实现（从_item.stash中取caplog_handler_key）对补丁非必需——补丁仅依赖该属性返回有clear()方法的对象，不依赖其具体获取逻辑。不查看property实现也能完成补丁
SUP-015	astropy__astropy-13033	astropy.timeseries.core.BaseTimeSeries._required_columns_enabled	exclusive_protocol_review	irrelevant		irrelevant	补丁仅在_check_required_columns方法内改进异常消息格式（显示完整required columns列表而非仅第一个），候选_required_columns_enabled是控制_check_required_columns是否执行的布尔开关，补丁+/-行不修改、不调用、不消费该候选。缺失候选完全不影响补丁实现
SUP-016	sphinx-doc__sphinx-10323	sphinx.directives.code.LiteralIncludeReader.lines_filter	exclusive_protocol_review	irrelevant		irrelevant	候选lines_filter仅在diff上下文行self.lines_filter中出现，补丁实际+/-行（将dedent_filter从末尾移到prepend_filter之前）不调用、不修改、不消费候选的任何输出或契约。缺失候选完全不影响补丁实现
SUP-017	sphinx-doc__sphinx-7590	sphinx.domains.cpp.ASTFunctionParameter.get_id	shared_evidence_adjudication	irrelevant	strong	irrelevant	候选ASTFunctionParameter.get_id是ASTFunctionParameter类的方法，补丁+/-行涉及的是ASTNumberLiteral、ASTCharLiteral、ASTUserDefinedLiteral三个不同类的get_id方法，补丁不调用、不修改、不依赖候选的数据流或契约。缺失完全不影响补丁实现
SUP-018	pytest-dev__pytest-7324	pytest.src._pytest.mark.expression.TokenType.IDENT	exclusive_protocol_review		strong	weak	The token constant is read directly, but its public enum role is explicit in the changed expression.
SUP-019	django__django-13128	django.db.models.expressions.Exists.output_field	exclusive_protocol_review		strong	irrelevant	The generic lhs/rhs output_field access is not tied to the exact Exists class attribute.
SUP-020	django__django-13212	django.core.validators.BaseValidator.message	exclusive_protocol_review	irrelevant		irrelevant	补丁实质变更是在各ValidationError调用中统一追加params={'value': value}，使错误消息模板可使用%(value)s占位符。self.message仅为已存在的第一个位置参数，补丁不依赖BaseValidator.message的契约、类型或返回值。self.message指向的是各具体validator类（如RegexValidator）自有的message属性，与BaseValidator.message非同一实体。缺失该候选完全不影响补丁实现
SUP-021	mwaskom__seaborn-3187	seaborn._core.scales.Scale.label	exclusive_protocol_review		strong	irrelevant	The abstract Scale.label method is not called by the changed formatter setup.
SUP-022	django__django-13315	django.forms.models.ModelChoiceField.get_limit_choices_to	exclusive_protocol_review	weak		weak	补丁+/-行使用候选返回的limit_choices_to值构建Exists子查询以消除重复选项，但仅依赖其公共契约（返回字典或Q对象），不依赖候选内部实现细节（如callable判断），不查看实现也能完成补丁
SUP-023	matplotlib__matplotlib-24637	matplotlib.offsetbox.TextArea.draw	exclusive_protocol_review		strong	irrelevant	TextArea.draw is a different class method from the changed AnnotationBbox.draw logic.
SUP-024	django__django-13212	django.forms.fields.TypedMultipleChoiceField.validate	exclusive_protocol_review		required	required	The patch directly replaces the exact validation implementation and must preserve its required/empty-value behavior.
SUP-025	pytest-dev__pytest-7324	src._pytest.mark.expression.expr	exclusive_protocol_review		weak	irrelevant	expr is neighboring parser context; the changed identifier-prefix logic is in not_expr.
SUP-026	pydata__xarray-6938	xarray.core.variable.IndexVariable.data	exclusive_protocol_review		strong	strong	The exact IndexVariable data contract explains why conversion must avoid assigning through the protected setter.
SUP-027	sphinx-doc__sphinx-7440	sphinx.domains.std.StandardDomain.note_object	exclusive_protocol_review	weak		weak	补丁+行直接调用候选note_object记录术语用于交叉引用和重复检测，补丁仅改变传入的name参数（不再转小写），依赖候选的公共签名(objtype, name, labelid, location)即可完成，不依赖其内部去重实现细节
SUP-028	astropy__astropy-8707	astropy.io.fits.header.Header.update	exclusive_protocol_review		irrelevant	irrelevant	Header.update appears only as a doctest-skip name; its implementation is not repair context.
SUP-029	pylint-dev__pylint-6528	pylint.lint.expand_modules._is_in_ignore_list_re	shared_evidence_adjudication	weak	required	weak	补丁新增的_is_ignored_file函数在+行中直接调用候选进行正则匹配判断，候选接口清晰（接受字符串和正则模式列表，返回布尔值），不依赖其内部正则遍历实现即可完成补丁封装逻辑。候选属于已有工具函数被复用
SUP-030	scikit-learn__scikit-learn-10908	scikit-learn.sklearn.feature_extraction.text.VectorizerMixin._check_vocabulary	shared_evidence_adjudication	irrelevant	required	irrelevant	候选_check_vocabulary仅在未变化的diff上下文行中被调用，补丁实际变更行（新增_validate_vocabulary()调用）不调用、不修改、不消费候选的输出。补丁只需确保在已有_check_vocabulary()调用前初始化vocabulary_，不依赖候选的精确实现或契约。缺失候选不影响补丁实现
SUP-031	django__django-13121	django.db.models.expressions.When.as_sql	shared_evidence_adjudication	irrelevant	strong	irrelevant	候选When.as_sql是When类的方法，补丁修改的CombinedExpression.as_sql、DurationExpression.compile、Combinable._combine均属于不同类，补丁不调用、不修改、不消费候选的任何输出或契约，缺失完全不影响补丁实现
SUP-032	mwaskom__seaborn-3187	seaborn._core.scales.PseudoAxis.set_view_interval	shared_evidence_adjudication	irrelevant	required	irrelevant	补丁+/-行仅在set_view_interval调用之后的axis.major.formatter上禁用offset和scientific notation，与候选set_view_interval无调用关系、无数据流依赖、无契约约束。候选仅作为未变化的上下文行出现在diff中，缺失完全不影响补丁实现
SUP-033	django__django-13810	django.core.handlers.base.BaseHandler.adapt_method_mode	exclusive_protocol_review	weak		weak	补丁核心修复是避免在MiddlewareNotUsed异常导致continue时错误地覆盖handler变量，候选adapt_method_mode在+/-行中调用方式完全一致（参数未变），补丁仅依赖其公共契约（返回适配后的handler），不依赖内部sync_to_async/async_to_sync实现细节。不查看候选实现可稳妥完成补丁
SUP-034	astropy__astropy-13236	astropy.table.table.Table.dtype	exclusive_protocol_review	irrelevant		irrelevant	补丁仅删除_convert_data_to_col方法中一段过时的类型转换逻辑，候选Table.dtype是Table类的property，补丁不调用、不读取、不修改该候选。缺失完全不影响补丁实现
SUP-035	sympy__sympy-24066	sympy.physics.units.unitsystem.UnitSystem.get_dimension_system	shared_evidence_adjudication	weak	required	weak	补丁+行直接调用候选，但候选get_dimension_system仅是一个简单的属性访问器（return self._dimension_system），补丁真正依赖的是其返回的dimension system对象具有is_dimensionless方法这一公共契约，而非候选的实现细节。不查看候选实现仅凭方法签名即可完成补丁
SUP-036	sphinx-doc__sphinx-7590	sphinx.domains.cpp.ASTTrailingTypeSpec.describe_signature	exclusive_protocol_review	irrelevant		irrelevant	候选是不同AST节点类的describe_signature方法，补丁不调用、不修改、不依赖其实现或契约，缺失完全不影响补丁实现UDL支持
SUP-037	sphinx-doc__sphinx-8056	sphinx.ext.napoleon.docstring.GoogleDocstring._format_fields	exclusive_protocol_review		required	weak	The changed code calls _format_fields, whose visible signature is sufficient for the local fix.
SUP-038	scikit-learn__scikit-learn-10297	scikit-learn.sklearn.linear_model.ridge.RidgeClassifier.fit	shared_evidence_adjudication	irrelevant	required	irrelevant	补丁仅修改RidgeClassifierCV.__init__签名（新增store_cv_values参数并传递给super().__init__）及类文档字符串，不调用、不修改、不消费候选RidgeClassifier.fit的任何输出。候选仅因与修改位置相邻而出现在diff上下文中，无数据流或契约依赖
SUP-039	pydata__xarray-6744	xarray.core.rolling.Rolling.ndim	shared_evidence_adjudication	irrelevant	strong	irrelevant	补丁+/-行仅修改__iter__方法中的窗口起始/结束索引计算逻辑（引入center参数的offset支持），self.ndim只在未变化的if self.ndim > 1守卫条件中被读取。补丁不调用、不修改、不依赖候选ndim的返回值和契约，缺失候选完全不影响补丁实现
SUP-040	matplotlib__matplotlib-22719	matplotlib.category.UnitData._str_is_convertible	exclusive_protocol_review		required	strong	The convertibility predicate controls the warning path modified by the patch.
SUP-041	pytest-dev__pytest-7324	pytest.src._pytest.mark.expression.Token.value	exclusive_protocol_review		strong	weak	The exact Token.value field is read directly, but its string-value contract is explicit.
SUP-042	astropy__astropy-14369	astropy.units.format.cds.CDS._tokens	exclusive_protocol_review		strong	strong	The exact token set constrains the grammar update and parser behavior.
SUP-043	sympy__sympy-13091	sympy.polys.fields.field	exclusive_protocol_review	irrelevant		irrelevant	补丁仅修改__ne__方法内的表达式，候选field是一个用于构造有理函数域的工厂函数，补丁不调用、不读取、不依赖其契约或副作用。缺失完全不影响补丁实现
SUP-044	matplotlib__matplotlib-24637	matplotlib.offsetbox.OffsetImage.draw	shared_evidence_adjudication	irrelevant	strong	irrelevant	补丁+/-行仅在AnnotationBbox.draw方法首尾添加open_group/close_group调用以传递gid到渲染器，候选OffsetImage.draw是OffsetImage类的方法，补丁不直接调用、不读写候选的任何属性、不依赖候选的契约。缺失候选完全不影响补丁实现
SUP-045	sphinx-doc__sphinx-7590	sphinx.domains.cpp.ASTBooleanLiteral.get_id	shared_evidence_adjudication	irrelevant	required	irrelevant	候选ASTBooleanLiteral.get_id是另一个类的get_id方法，补丁未调用、未修改、未消费其输出，缺失完全不影响补丁实现
SUP-046	pydata__xarray-6744	xarray.core.rolling.Rolling.count	shared_evidence_adjudication	irrelevant	required	irrelevant	补丁+/-行实际调用的是DataArray.count（window为DataArray类型），候选Rolling.count是Rolling类上的同名不同方法，未被补丁调用也未参与数据流，缺失完全不影响补丁实现
SUP-047	matplotlib__matplotlib-25775	lib.matplotlib.backends.backend_agg.get_hinting_flag	exclusive_protocol_review		required	irrelevant	The unchanged hinting call does not determine the antialiasing change.
SUP-048	django__django-11740	django.db.migrations.autodetector.MigrationAutodetector._get_dependencies_for_foreign_key	exclusive_protocol_review	strong		strong	补丁在generate_altered_fields中新增调用候选，用于当字段从非FK（如UUIDField）改为ForeignKey时收集目标模型的迁移依赖。若隐藏候选实现，无法确定其返回值格式（[(app_label, object_name, None, True)]三元组列表）及对swappable模型和through模型的特殊处理逻辑，补丁生成的AlterField操作将缺少必要依赖，导致迁移执行时因依赖缺失而失败
SUP-049	django__django-16256	django.db.models.fields.related_descriptors.ManyRelatedManager.remove	exclusive_protocol_review	irrelevant		irrelevant	补丁仅在create_reverse_many_to_one_manager和create_forward_many_to_many_manager工厂函数内新增异步方法，候选ManyRelatedManager.remove属于ManyRelatedManager类，与补丁修改的工厂函数生成的RelatedManager类不同，补丁不调用、不修改、不依赖该候选的任何输出或契约。缺失候选完全不影响补丁实现
SUP-050	pytest-dev__pytest-7490	src._pytest.skipping.evaluate_xfail_marks	shared_evidence_adjudication	strong	required	strong	补丁核心修复逻辑是在pytest_runtest_call的yield之后重新调用evaluate_xfail_marks(item)以捕获测试运行时动态添加的xfail标记。这完全依赖候选的契约——evaluate_xfail_marks通过item.iter_markers(name="xfail")实时扫描当前所有标记（包括动态添加的）。若隐藏候选实现，无法确认该函数会返回动态添加标记的结果，也无法验证post-yield重新评估的正确性
SUP-051	scikit-learn__scikit-learn-13142	scikit-learn.sklearn.mixture.base.BaseMixture.predict	exclusive_protocol_review		required	strong	predict semantics motivate the final E-step consistency change in fit_predict.
SUP-052	sympy__sympy-16597	sympy.assumptions.ask.AssumptionKeys.real	exclusive_protocol_review	irrelevant		irrelevant	补丁核心变更是为多个假设规则添加finite约束（如rational -> real改为rational -> real & finite），候选Q.real在+/-行中仅作为FactRules系统的谓词符号被嵌入规则字符串/CNF子句，补丁不调用候选的任何方法、不读取候选属性值、不修改候选定义。缺失候选（Q.real这个谓词的定义）完全不影响补丁对规则蕴含关系的修改
SUP-053	django__django-12276	django.forms.widgets.CheckboxInput.value_omitted_from_data	exclusive_protocol_review	irrelevant		irrelevant	候选CheckboxInput.value_omitted_from_data与补丁中出现的FileInput.value_omitted_from_data（上下文行）属于不同类的同名方法，补丁不调用、不修改、不消费候选的任何输出或契约。补丁仅将use_required_attribute从子类移至父类，与候选完全无执行依赖
SUP-054	django__django-13012	django.db.models.expressions.When.as_sql	exclusive_protocol_review		required	irrelevant	When.as_sql is a same-name method on a different class from the changed expression method.
SUP-055	django__django-15503	django.db.models.fields.json.KeyTransformNumericLookupMixin.process_rhs	exclusive_protocol_review	irrelevant		irrelevant	补丁修改的是HasKey→HasKeyOrArrayIndex的类引用替换，目的是让has_key查找能正确处理数值型JSON key（区分为键名查找而非数组索引）。候选KeyTransformNumericLookupMixin.process_rhs属于数值比较lookup的mixin，补丁不调用、不修改、不依赖候选的任何契约或副作用。缺失候选完全不影响补丁实现
SUP-056	django__django-13121	django.db.models.expressions.TemporalSubtraction.as_sql	exclusive_protocol_review	weak		weak	补丁+行直接调用候选，但该调用在旧代码中已存在（-行中亦有相同调用），补丁仅简化了进入该分支的条件（去掉lhs_output and rhs_output检查）。补丁的核心变更是删除DurationValue类、删除date_interval_sql方法、重构CombinedExpression.as_sql中duration判断逻辑，候选只是被保留的已有调用路径，补丁不依赖候选的内部实现细节即可完成
SUP-057	pylint-dev__pylint-4970	pylint.checkers.similar.Similar._display_sims	exclusive_protocol_review		required	weak	The display call is visible after the new early return; its print-side effect is apparent at the call site.
SUP-058	astropy__astropy-8707	astropy.io.fits.header.Header.append	shared_evidence_adjudication	irrelevant	strong	irrelevant	候选Header.append是Header类的实例方法（用于追加卡片到Header），补丁修改的Header.fromstring是类方法，其中cards.append(...)中的cards是局部list对象，调用的是list.append，与候选完全无关
SUP-059	django__django-14007	django.db.models.sql.compiler.SQLInsertCompiler.returning_fields	exclusive_protocol_review	weak		weak	补丁+行直接读取self.returning_fields（其值在上下文行self.returning_fields = returning_fields中被设定为方法参数），用于遍历returning字段并获取对应的from_db_value转换器。候选的类级默认值None语义直观且补丁仅依赖其为一个可迭代字段列表，不依赖候选的内部实现细节。不查看候选定义也能完成补丁
SUP-060	pydata__xarray-6992	xarray.core.indexes.PandasIndex._replace	exclusive_protocol_review	irrelevant		irrelevant	补丁对keep_levels的实际修改仅限else分支（将PandasIndex(index, self.dim, ...)改为PandasIndex(index.rename(self.dim), self.dim, ...)），if分支中的_replace调用完全未被触及。dataset.py中的set_index/reset_index重构涉及的是Variable._replace和Dataset._replace_with_new_dims，均非候选。缺失候选不影响补丁实现
SUP-061	pytest-dev__pytest-7571	pytest.src._pytest.logging.LogCaptureFixture.handler	exclusive_protocol_review	weak		weak	补丁通过self.handler属性读写handler对象的level和setLevel，但仅依赖该property返回的handler具有标准logging handler接口这一公共契约，不依赖property内部从_item._store取值的具体实现。不查看候选实现也能稳妥完成补丁
SUP-062	astropy__astropy-14182	astropy.io.ascii.rst.SimpleRSTHeader.start_line	exclusive_protocol_review	irrelevant		irrelevant	候选SimpleRSTHeader.start_line属于SimpleRSTHeader类，补丁修改的是SimpleRSTData.start_line（删除固定值3）和RST.read（动态设置self.data.start_line），属于不同类的同名属性。补丁不读取、不调用、不依赖候选的值或契约，缺失完全不影响补丁实现
SUP-063	matplotlib__matplotlib-24870	matplotlib.contour.QuadContourSet._initialize_x_y	exclusive_protocol_review		strong	strong	The exact initializer consumes the newly normalized masked array and determines downstream coordinates.
SUP-064	pytest-dev__pytest-8399	src._pytest.unittest._is_skipped	exclusive_protocol_review	irrelevant		irrelevant	候选仅在未变化的diff上下文行中被调用，补丁+/-行仅修改fixture名称的字符串字面量（添加下划线前缀），与_is_skipped无数据流、无调用、无契约依赖。缺失该候选完全不影响补丁实现
SUP-065	astropy__astropy-14096	astropy.coordinates.sky_coordinate.SkyCoord.frame	exclusive_protocol_review	irrelevant		irrelevant	补丁+/-行将手动抛出AttributeError改为委托标准__getattribute__调用，与候选frameproperty无调用关系、无数据流依赖、无契约约束。候选仅出现在同一方法的未变化上下文行中，缺失完全不影响补丁实现
SUP-066	mwaskom__seaborn-3187	seaborn._core.scales.Continuous.label	exclusive_protocol_review		strong	irrelevant	Continuous.label is mentioned only in a comment and is not executed by the formatter change.
SUP-067	sympy__sympy-13615	sympy.sets.sets.Set.contains	exclusive_protocol_review	strong		strong	补丁+行contains = self.contains(el)直接调用候选Set.contains，其核心逻辑"将contains返回值按True/False/None三分"完全依赖候选的契约——Set.contains可能返回True（明确属于集合）、False（明确不属于）或None（无法确定，如符号表达式）。若隐藏候选的此三值返回契约，补丁的ternary_sift三值分类逻辑无法正确设计或验证
SUP-068	sphinx-doc__sphinx-7590	sphinx.domains.cpp.CPPObject.describe_signature	exclusive_protocol_review		strong	irrelevant	CPPObject.describe_signature is a different method from the edited AST literal methods.
SUP-069	astropy__astropy-8707	astropy.io.fits.header.Header.fromtextfile	exclusive_protocol_review		strong	irrelevant	Header.fromtextfile appears only in the doctest-skip list.
SUP-070	mwaskom__seaborn-3187	seaborn._core.scales.Temporal.label	exclusive_protocol_review		strong	irrelevant	Temporal.label is not called by the changed continuous formatter setup.
SUP-071	scikit-learn__scikit-learn-14983	scikit-learn.sklearn.model_selection._split.BaseShuffleSplit.get_n_splits	exclusive_protocol_review	irrelevant		irrelevant	候选BaseShuffleSplit.get_n_splits是BaseShuffleSplit类的方法，补丁修改的是_RepeatedSplits类（新增__repr__）和模块级_build_repr函数，候选未被调用、未出现在+/-行、无数据流依赖。缺失完全不影响补丁实现
SUP-072	mwaskom__seaborn-3187	seaborn._core.scales.Nominal.label	exclusive_protocol_review		strong	irrelevant	Nominal.label is not called by the changed continuous formatter setup.
SUP-073	django__django-13212	django.core.validators.MaxValueValidator.message	exclusive_protocol_review	irrelevant		irrelevant	补丁仅在各具体validator类的__call__方法中为ValidationError追加params={'value': value}参数，MaxValueValidator及其message属性未被补丁触及。候选与补丁变更无调用关系、无数据流依赖、无契约约束，缺失完全不影响补丁实现
SUP-074	pylint-dev__pylint-6386	pylint.config.arguments_manager._ArgumentsManager.help	exclusive_protocol_review		irrelevant	irrelevant	The help method is distinct from the argument.help metadata field changed by the patch.
SUP-075	scikit-learn__scikit-learn-10297	scikit-learn.sklearn.linear_model.ridge._BaseRidgeCV.fit	exclusive_protocol_review		required	strong	The superclass fit contract stores cv_values_ and is central to exposing the new option.
SUP-076	matplotlib__matplotlib-26466	matplotlib.text.Annotation.xycoords	exclusive_protocol_review	irrelevant		irrelevant	补丁+/-行仅修改self.xy的赋值方式（元组解包强制copy），与候选xycoords无调用关系、无数据流依赖、无契约约束。候选仅因同一方法体内相邻行出现而被关联，缺失完全不影响补丁实现
SUP-077	scikit-learn__scikit-learn-10297	scikit-learn.sklearn.linear_model.ridge._RidgeGCV.fit	exclusive_protocol_review		required	strong	The _RidgeGCV fit implementation produces the cv_values_ propagated by the patch.
SUP-078	django__django-13212	django.core.validators.RegexValidator.message	exclusive_protocol_review		weak	weak	The exact message constant is passed through changed calls, but its value is not needed to add params.
SUP-079	astropy__astropy-13579	astropy.wcs.wcsapi.wrappers.sliced_wcs.SlicedLowLevelWCS._pixel_to_world_values_all	exclusive_protocol_review		required	required	The newly added call relies on nontrivial slice reconstruction and coordinate conversion behavior.
SUP-080	astropy__astropy-7671	astropy.utils.introspection.resolve_name	exclusive_protocol_review	irrelevant		irrelevant	候选仅出现在未变化的diff上下文行中，补丁+/-行（正则匹配移除版本号非数字后缀）完全不依赖resolve_name的契约、返回值或副作用。缺失候选不影响补丁实现
SUP-081	scikit-learn__scikit-learn-14983	scikit-learn.sklearn.model_selection._split.LeaveOneGroupOut.get_n_splits	exclusive_protocol_review		strong	irrelevant	LeaveOneGroupOut.get_n_splits is a same-name method on a different cross-validator.
SUP-082	sphinx-doc__sphinx-7590	sphinx.domains.cpp.ASTTemplateDeclarationPrefix.describe_signature	exclusive_protocol_review	irrelevant		irrelevant	候选ASTTemplateDeclarationPrefix.describe_signature是补丁直接修改的方法体本身，补丁未在+/-行中调用该候选或消费其返回值/副作用，候选仅是补丁的编辑目标，对补丁其余部分（如ASTUserDefinedLiteral、_parse_literal修改等）不构成数据流或契约依赖
SUP-083	sphinx-doc__sphinx-7590	sphinx.domains.cpp.ASTDeclaratorNameBitField.describe_signature	exclusive_protocol_review	irrelevant		irrelevant	候选ASTDeclaratorNameBitField.describe_signature是sphinx/domains/c.py中C域位域声明的签名描述方法，补丁+/-行全部发生在cpp.py（C++域）和cfamily.py（共享基础设施）以及c.py的_parse_literal方法中。候选不在任何+/-行中，也与UDL解析无关，缺失完全不影响补丁实现
SUP-084	sympy__sympy-21930	sympy.physics.secondquant.AntiSymmetricTensor.symbol	exclusive_protocol_review		required	weak	The symbol getter is read directly, but its accessor contract is explicit in the formatting expression.
SUP-085	sphinx-doc__sphinx-7889	sphinx.ext.autodoc.mock._make_subclass	exclusive_protocol_review		required	strong	_make_subclass passes the changed key into type(), making its exact string-name requirement material.
SUP-086	django__django-16819	django.db.migrations.operations.models.RenameModel.reduce	exclusive_protocol_review	irrelevant		irrelevant	候选RenameModel.reduce是RenameModel类的reduce方法，补丁修改的是AddIndex类的reduce方法，两者分属不同操作类。补丁不调用、不修改、不消费候选的任何输出或契约，缺失候选完全不影响补丁实现
SUP-087	astropy__astropy-8707	astropy.io.fits.card._pad	exclusive_protocol_review	irrelevant		irrelevant	候选_pad是Card.fromstring中已有调用路径上的内部函数，补丁+/-行仅在调用_pad之前新增了bytes到str的解码步骤。补丁逻辑只需将bytes先decode再走原有流程，不依赖_pad的具体填充算法或契约。隐藏_pad实现不影响补丁的编写或验证
SUP-088	pydata__xarray-6992	xarray.core.dataset.Dataset.update	exclusive_protocol_review		required	irrelevant	Dataset.update is unrelated to the edited set_index/reset_index transformations.
SUP-089	pydata__xarray-4695	xarray.core.dataarray.DataArray.dims	exclusive_protocol_review		weak	irrelevant	DataArray.dims is unchanged context; the repair changes the sel argument form.
SUP-090	mwaskom__seaborn-3187	seaborn._core.scales.Identity._legend	shared_evidence_adjudication	irrelevant	strong	irrelevant	候选Identity._legend是Identity类的类属性（值为None），补丁修改的是ContinuousBase._setup方法，完全不调用、不读取、不依赖该候选。缺失候选对补丁实现无任何影响
SUP-091	pytest-dev__pytest-7236	pytest.src._pytest.unittest.TestCaseFunction._testcase	exclusive_protocol_review		strong	irrelevant	The _testcase field is unchanged context and does not determine the new skipped-test guard.
SUP-092	sphinx-doc__sphinx-9461	sphinx.ext.autodoc.__init__.MethodDocumenter.import_object	exclusive_protocol_review		strong	weak	The neighboring documenter override provides a pattern, but the edited method can be implemented from its local superclass call.
SUP-093	django__django-13121	django.db.models.expressions.BaseExpression.as_sql	exclusive_protocol_review	irrelevant		irrelevant	补丁修改的是CombinedExpression.as_sql这一具体重写方法的内部逻辑，不涉及对BaseExpression.as_sql的调用、重写或契约依赖。候选仅在继承链中作为父类存在，补丁可直接重写子类方法而无需查看候选实现
SUP-094	astropy__astropy-13033	astropy.timeseries.core.BaseTimeSeries._required_columns	exclusive_protocol_review	irrelevant		irrelevant	补丁仅改进异常消息格式使其显示完整required columns列表而非仅第一个，不依赖候选_required_columns的具体值、类型或契约。候选仅出现在未变化的上下文条件分支中，缺失完全不影响补丁实现
SUP-095	sphinx-doc__sphinx-8056	sphinx.ext.napoleon.docstring.GoogleDocstring._format_docutils_params	exclusive_protocol_review	weak		weak	补丁变更的核心是将原本单条多参数声明拆分为多条独立条目后传递给候选消费，候选仅需其公共契约（接受List[Tuple[str, str, List[str]]]格式的字段列表）即可正确工作，不依赖候选内部实现细节。不查看候选实现仅凭接口约定即可完成补丁
SUP-096	django__django-11885	django.db.models.deletion.get_candidate_relations_to_delete	shared_evidence_adjudication	irrelevant	required	irrelevant	候选仅在diff上下文行中被调用，补丁+/-行不依赖候选的实现细节（如字段过滤逻辑），仅需其返回可迭代的关联对象。缺失候选不影响补丁实现合并查询的核心逻辑
SUP-097	django__django-13212	django.core.validators.MinLengthValidator.message	exclusive_protocol_review	irrelevant		irrelevant	补丁仅在各具体validator类的__call__方法中为ValidationError追加params={'value': value}参数，MinLengthValidator未被补丁触及。候选与补丁变更无调用关系、无数据流依赖、无契约约束，缺失完全不影响补丁实现
SUP-098	django__django-13346	django.db.models.fields.json.KeyTransformNumericLookupMixin.process_rhs	exclusive_protocol_review	irrelevant		irrelevant	补丁新增的KeyTransformIn.process_rhs与候选分属不同类层级（KeyTransformIn继承lookups.In，候选属于KeyTransformNumericLookupMixin），补丁不调用、不修改、不消费候选的任何输出或契约。缺失候选完全不影响补丁实现
