annotator	annotation_id	instance_id	candidate	in_changed_line	exact_receiver	patch_without_candidate	support_role	relation	confidence	rationale
A	SUP-008	matplotlib__matplotlib-23412	matplotlib.patches.FancyBboxPatch.get_path	否	否	是	irrelevant	其他	5	候选FancyBboxPatch.get_path是FancyBboxPatch类的方法，补丁修改的是Patch.draw中dash pattern的元组构建逻辑，二者无调用关系、无数据流依赖。缺失候选完全不影响补丁实现
A	SUP-056	django__django-13121	django.db.models.expressions.TemporalSubtraction.as_sql	是	是	是	weak	补丁直接调用	4	补丁+行直接调用候选，但该调用在旧代码中已存在（-行中亦有相同调用），补丁仅简化了进入该分支的条件（去掉lhs_output and rhs_output检查）。补丁的核心变更是删除DurationValue类、删除date_interval_sql方法、重构CombinedExpression.as_sql中duration判断逻辑，候选只是被保留的已有调用路径，补丁不依赖候选的内部实现细节即可完成
A	SUP-017	sphinx-doc__sphinx-7590	sphinx.domains.cpp.ASTFunctionParameter.get_id	否	否	是	irrelevant	其他	5	候选ASTFunctionParameter.get_id是ASTFunctionParameter类的方法，补丁+/-行涉及的是ASTNumberLiteral、ASTCharLiteral、ASTUserDefinedLiteral三个不同类的get_id方法，补丁不调用、不修改、不依赖候选的数据流或契约。缺失完全不影响补丁实现
A	SUP-003	django__django-15268	django.db.migrations.operations.models.AlterIndexTogether.option_name	否	否	是	irrelevant	其他	5	候选AlterIndexTogether.option_name是一个值为"index_together"的类属性，补丁不读取、不调用、不修改该属性。补丁新增的can_reduce_through方法通过type(operation) is not type(self)进行类型级别的操作合并判断，完全不需要知晓具体的option_name值。缺失候选对补丁实现无任何影响
A	SUP-073	django__django-13212	django.core.validators.MaxValueValidator.message	否	否	是	irrelevant	其他	5	补丁仅在各具体validator类的__call__方法中为ValidationError追加params={'value': value}参数，MaxValueValidator及其message属性未被补丁触及。候选与补丁变更无调用关系、无数据流依赖、无契约约束，缺失完全不影响补丁实现
A	SUP-060	pydata__xarray-6992	xarray.core.indexes.PandasIndex._replace	否	是	是	irrelevant	其他	5	补丁对keep_levels的实际修改仅限else分支（将PandasIndex(index, self.dim, ...)改为PandasIndex(index.rename(self.dim), self.dim, ...)），if分支中的_replace调用完全未被触及。dataset.py中的set_index/reset_index重构涉及的是Variable._replace和Dataset._replace_with_new_dims，均非候选。缺失候选不影响补丁实现
A	SUP-032	mwaskom__seaborn-3187	seaborn._core.scales.PseudoAxis.set_view_interval	否	是	是	irrelevant	其他	5	补丁+/-行仅在set_view_interval调用之后的axis.major.formatter上禁用offset和scientific notation，与候选set_view_interval无调用关系、无数据流依赖、无契约约束。候选仅作为未变化的上下文行出现在diff中，缺失完全不影响补丁实现
A	SUP-067	sympy__sympy-13615	sympy.sets.sets.Set.contains	是	是	否	strong	补丁直接调用	5	补丁+行contains = self.contains(el)直接调用候选Set.contains，其核心逻辑"将contains返回值按True/False/None三分"完全依赖候选的契约——Set.contains可能返回True（明确属于集合）、False（明确不属于）或None（无法确定，如符号表达式）。若隐藏候选的此三值返回契约，补丁的ternary_sift三值分类逻辑无法正确设计或验证
A	SUP-094	astropy__astropy-13033	astropy.timeseries.core.BaseTimeSeries._required_columns	否	是	是	irrelevant	其他	5	补丁仅改进异常消息格式使其显示完整required columns列表而非仅第一个，不依赖候选_required_columns的具体值、类型或契约。候选仅出现在未变化的上下文条件分支中，缺失完全不影响补丁实现
A	SUP-014	pytest-dev__pytest-10051	pytest.src._pytest.logging.LogCaptureFixture.handler	是	是	是	weak	补丁直接调用	4	补丁+行通过self.handler属性访问handler对象并调用clear()，但handler属性的内部实现（从_item.stash中取caplog_handler_key）对补丁非必需——补丁仅依赖该属性返回有clear()方法的对象，不依赖其具体获取逻辑。不查看property实现也能完成补丁
A	SUP-080	astropy__astropy-7671	astropy.utils.introspection.resolve_name	否	否	是	irrelevant	其他	5	候选仅出现在未变化的diff上下文行中，补丁+/-行（正则匹配移除版本号非数字后缀）完全不依赖resolve_name的契约、返回值或副作用。缺失候选不影响补丁实现
A	SUP-071	scikit-learn__scikit-learn-14983	scikit-learn.sklearn.model_selection._split.BaseShuffleSplit.get_n_splits	否	否	是	irrelevant	其他	5	候选BaseShuffleSplit.get_n_splits是BaseShuffleSplit类的方法，补丁修改的是_RepeatedSplits类（新增__repr__）和模块级_build_repr函数，候选未被调用、未出现在+/-行、无数据流依赖。缺失完全不影响补丁实现
A	SUP-016	sphinx-doc__sphinx-10323	sphinx.directives.code.LiteralIncludeReader.lines_filter	否	否	是	irrelevant	其他	5	候选lines_filter仅在diff上下文行self.lines_filter中出现，补丁实际+/-行（将dedent_filter从末尾移到prepend_filter之前）不调用、不修改、不消费候选的任何输出或契约。缺失候选完全不影响补丁实现
A	SUP-058	astropy__astropy-8707	astropy.io.fits.header.Header.append	否	否	是	irrelevant	其他	5	候选Header.append是Header类的实例方法（用于追加卡片到Header），补丁修改的Header.fromstring是类方法，其中cards.append(...)中的cards是局部list对象，调用的是list.append，与候选完全无关
A	SUP-096	django__django-11885	django.db.models.deletion.get_candidate_relations_to_delete	否	否	是	irrelevant	其他	5	候选仅在diff上下文行中被调用，补丁+/-行不依赖候选的实现细节（如字段过滤逻辑），仅需其返回可迭代的关联对象。缺失候选不影响补丁实现合并查询的核心逻辑
A	SUP-099	matplotlib__matplotlib-23412	matplotlib.patches.Rectangle.get_path	否	否	是	irrelevant	其他	5	补丁+/-行仅修改dash pattern元组构建方式（保留offset而非丢弃），self.get_path()调用在上下文行中未变化。候选Rectangle.get_path是Patch.get_path的多态实现之一，补丁不依赖任何特定子类的get_path实现，缺失候选完全不影响补丁实现
A	SUP-050	pytest-dev__pytest-7490	src._pytest.skipping.evaluate_xfail_marks	是	是	否	strong	补丁直接调用	4	补丁核心修复逻辑是在pytest_runtest_call的yield之后重新调用evaluate_xfail_marks(item)以捕获测试运行时动态添加的xfail标记。这完全依赖候选的契约——evaluate_xfail_marks通过item.iter_markers(name="xfail")实时扫描当前所有标记（包括动态添加的）。若隐藏候选实现，无法确认该函数会返回动态添加标记的结果，也无法验证post-yield重新评估的正确性
A	SUP-022	django__django-13315	django.forms.models.ModelChoiceField.get_limit_choices_to	否	是	是	weak	返回值或数据流依赖	4	补丁+/-行使用候选返回的limit_choices_to值构建Exists子查询以消除重复选项，但仅依赖其公共契约（返回字典或Q对象），不依赖候选内部实现细节（如callable判断），不查看实现也能完成补丁
A	SUP-098	django__django-13346	django.db.models.fields.json.KeyTransformNumericLookupMixin.process_rhs	否	否	是	irrelevant	同类邻近上下文	5	补丁新增的KeyTransformIn.process_rhs与候选分属不同类层级（KeyTransformIn继承lookups.In，候选属于KeyTransformNumericLookupMixin），补丁不调用、不修改、不消费候选的任何输出或契约。缺失候选完全不影响补丁实现
A	SUP-053	django__django-12276	django.forms.widgets.CheckboxInput.value_omitted_from_data	否	否	是	irrelevant	同类邻近上下文	5	候选CheckboxInput.value_omitted_from_data与补丁中出现的FileInput.value_omitted_from_data（上下文行）属于不同类的同名方法，补丁不调用、不修改、不消费候选的任何输出或契约。补丁仅将use_required_attribute从子类移至父类，与候选完全无执行依赖
A	SUP-065	astropy__astropy-14096	astropy.coordinates.sky_coordinate.SkyCoord.frame	否	是	是	irrelevant	同类邻近上下文	5	补丁+/-行将手动抛出AttributeError改为委托标准__getattribute__调用，与候选frameproperty无调用关系、无数据流依赖、无契约约束。候选仅出现在同一方法的未变化上下文行中，缺失完全不影响补丁实现
A	SUP-001	astropy__astropy-8707	astropy.io.fits.header.Header.tostring	是	是	是	irrelevant	其他	5	补丁+行中hdr.tostring()仅为docstring示例中的演示调用，用于说明Header.fromstring的用法。实际补丁代码（Card.fromstring中bytes解码、Header.fromstring中bytes分支处理）完全不调用、不依赖候选Header.tostring的契约或返回值。候选缺失完全不影响补丁实现
A	SUP-076	matplotlib__matplotlib-26466	matplotlib.text.Annotation.xycoords	否	否	是	irrelevant	同类邻近上下文	5	补丁+/-行仅修改self.xy的赋值方式（元组解包强制copy），与候选xycoords无调用关系、无数据流依赖、无契约约束。候选仅因同一方法体内相邻行出现而被关联，缺失完全不影响补丁实现
A	SUP-010	pytest-dev__pytest-7432	pytest.src._pytest.skipping.Skip.reason	否	否	是	irrelevant	同类邻近上下文	5	补丁+/-行仅修改控制流关键字（elif→if），使其不再受前面xfail分支条件约束，完全不涉及Skip.reason属性。候选属于Skip类而上下文行中的reason属于Xfail类，对象类型不同。缺失候选完全不影响补丁实现
A	SUP-035	sympy__sympy-24066	sympy.physics.units.unitsystem.UnitSystem.get_dimension_system	是	是	是	weak	补丁直接调用	5	补丁+行直接调用候选，但候选get_dimension_system仅是一个简单的属性访问器（return self._dimension_system），补丁真正依赖的是其返回的dimension system对象具有is_dimensionless方法这一公共契约，而非候选的实现细节。不查看候选实现仅凭方法签名即可完成补丁
A	SUP-055	django__django-15503	django.db.models.fields.json.KeyTransformNumericLookupMixin.process_rhs	否	否	是	irrelevant	同类邻近上下文	5	补丁修改的是HasKey→HasKeyOrArrayIndex的类引用替换，目的是让has_key查找能正确处理数值型JSON key（区分为键名查找而非数组索引）。候选KeyTransformNumericLookupMixin.process_rhs属于数值比较lookup的mixin，补丁不调用、不修改、不依赖候选的任何契约或副作用。缺失候选完全不影响补丁实现
A	SUP-061	pytest-dev__pytest-7571	pytest.src._pytest.logging.LogCaptureFixture.handler	是	是	是	weak	属性读取/写入	5	补丁通过self.handler属性读写handler对象的level和setLevel，但仅依赖该property返回的handler具有标准logging handler接口这一公共契约，不依赖property内部从_item._store取值的具体实现。不查看候选实现也能稳妥完成补丁
A	SUP-090	mwaskom__seaborn-3187	seaborn._core.scales.Identity._legend	否	否	是	irrelevant	同类邻近上下文	5	候选Identity._legend是Identity类的类属性（值为None），补丁修改的是ContinuousBase._setup方法，完全不调用、不读取、不依赖该候选。缺失候选对补丁实现无任何影响
A	SUP-059	django__django-14007	django.db.models.sql.compiler.SQLInsertCompiler.returning_fields	是	是	是	weak	属性读取/写入	5	补丁+行直接读取self.returning_fields（其值在上下文行self.returning_fields = returning_fields中被设定为方法参数），用于遍历returning字段并获取对应的from_db_value转换器。候选的类级默认值None语义直观且补丁仅依赖其为一个可迭代字段列表，不依赖候选的内部实现细节。不查看候选定义也能完成补丁
A	SUP-048	django__django-11740	django.db.migrations.autodetector.MigrationAutodetector._get_dependencies_for_foreign_key	是	是	是	strong	补丁直接调用	5	补丁在generate_altered_fields中新增调用候选，用于当字段从非FK（如UUIDField）改为ForeignKey时收集目标模型的迁移依赖。若隐藏候选实现，无法确定其返回值格式（[(app_label, object_name, None, True)]三元组列表）及对swappable模型和through模型的特殊处理逻辑，补丁生成的AlterField操作将缺少必要依赖，导致迁移执行时因依赖缺失而失败
A	SUP-049	django__django-16256	django.db.models.fields.related_descriptors.ManyRelatedManager.remove	否	否	是	irrelevant	同类邻近上下文	5	补丁仅在create_reverse_many_to_one_manager和create_forward_many_to_many_manager工厂函数内新增异步方法，候选ManyRelatedManager.remove属于ManyRelatedManager类，与补丁修改的工厂函数生成的RelatedManager类不同，补丁不调用、不修改、不依赖该候选的任何输出或契约。缺失候选完全不影响补丁实现
A	SUP-086	django__django-16819	django.db.migrations.operations.models.RenameModel.reduce	否	否	是	irrelevant	同类邻近上下文	5	候选RenameModel.reduce是RenameModel类的reduce方法，补丁修改的是AddIndex类的reduce方法，两者分属不同操作类。补丁不调用、不修改、不消费候选的任何输出或契约，缺失候选完全不影响补丁实现
A	SUP-011	pylint-dev__pylint-4604	pylint.checkers.variables.VariablesChecker.name	否	否	是	irrelevant	同类邻近上下文	5	补丁+/-行仅在_store_type_annotation_node方法中新增astroid.Attribute类型处理分支（递归处理type_annotation.expr），与之交互的是astroid.Name.name属性。候选人VariablesChecker.name是类级常量，补丁不读取、不调用、不依赖该候选的任何输出或契约。缺失候选完全不影响补丁实现
A	SUP-095	sphinx-doc__sphinx-8056	sphinx.ext.napoleon.docstring.GoogleDocstring._format_docutils_params	否	是	是	weak	返回值或数据流依赖	5	补丁变更的核心是将原本单条多参数声明拆分为多条独立条目后传递给候选消费，候选仅需其公共契约（接受List[Tuple[str, str, List[str]]]格式的字段列表）即可正确工作，不依赖候选内部实现细节。不查看候选实现仅凭接口约定即可完成补丁
A	SUP-052	sympy__sympy-16597	sympy.assumptions.ask.AssumptionKeys.real	是	是	是	irrelevant	其他	5	补丁核心变更是为多个假设规则添加finite约束（如rational -> real改为rational -> real & finite），候选Q.real在+/-行中仅作为FactRules系统的谓词符号被嵌入规则字符串/CNF子句，补丁不调用候选的任何方法、不读取候选属性值、不修改候选定义。缺失候选（Q.real这个谓词的定义）完全不影响补丁对规则蕴含关系的修改
A	SUP-044	matplotlib__matplotlib-24637	matplotlib.offsetbox.OffsetImage.draw	否	否	是	irrelevant	同类邻近上下文	5	补丁+/-行仅在AnnotationBbox.draw方法首尾添加open_group/close_group调用以传递gid到渲染器，候选OffsetImage.draw是OffsetImage类的方法，补丁不直接调用、不读写候选的任何属性、不依赖候选的契约。缺失候选完全不影响补丁实现
A	SUP-012	sympy__sympy-14531	sympy.printing.str.StrPrinter._relationals	否	是	是	irrelevant	同类邻近上下文	5	补丁+/-行仅修改_print_Relational中lhs/rhs的打印方式，通过self._print确保子表达式尊重打印设置，不读取、不调用、不修改候选_relationals，缺失候选完全不影响补丁实现
A	SUP-006	psf__requests-5414	requests.models.PreparedRequest._get_idna_encoded_host	否	是	是	irrelevant	同类邻近上下文	5	补丁+/-行仅将elif条件从单独检测*扩展为同时检测*和.开头的主机名，确保两种非法URL格式均被InvalidURL捕获。候选_get_idna_encoded_host在try块内被调用用于IDNA编码，补丁修改的elif分支是except块之后的条件分支，两者无调用关系、无数据流依赖。缺失候选完全不影响补丁实现
A	SUP-093	django__django-13121	django.db.models.expressions.BaseExpression.as_sql	否	否	是	irrelevant	同类邻近上下文	5	补丁修改的是CombinedExpression.as_sql这一具体重写方法的内部逻辑，不涉及对BaseExpression.as_sql的调用、重写或契约依赖。候选仅在继承链中作为父类存在，补丁可直接重写子类方法而无需查看候选实现
A	SUP-029	pylint-dev__pylint-6528	pylint.lint.expand_modules._is_in_ignore_list_re	是	是	是	weak	补丁直接调用	5	补丁新增的_is_ignored_file函数在+行中直接调用候选进行正则匹配判断，候选接口清晰（接受字符串和正则模式列表，返回布尔值），不依赖其内部正则遍历实现即可完成补丁封装逻辑。候选属于已有工具函数被复用
A	SUP-097	django__django-13212	django.core.validators.MinLengthValidator.message	否	否	是	irrelevant	其他	5	补丁仅在各具体validator类的__call__方法中为ValidationError追加params={'value': value}参数，MinLengthValidator未被补丁触及。候选与补丁变更无调用关系、无数据流依赖、无契约约束，缺失完全不影响补丁实现
A	SUP-039	pydata__xarray-6744	xarray.core.rolling.Rolling.ndim	否	是	是	irrelevant	同类邻近上下文	5	补丁+/-行仅修改__iter__方法中的窗口起始/结束索引计算逻辑（引入center参数的offset支持），self.ndim只在未变化的if self.ndim > 1守卫条件中被读取。补丁不调用、不修改、不依赖候选ndim的返回值和契约，缺失候选完全不影响补丁实现
A	SUP-043	sympy__sympy-13091	sympy.polys.fields.field	否	否	是	irrelevant	同类邻近上下文	5	补丁仅修改__ne__方法内的表达式，候选field是一个用于构造有理函数域的工厂函数，补丁不调用、不读取、不依赖其契约或副作用。缺失完全不影响补丁实现
A	SUP-027	sphinx-doc__sphinx-7440	sphinx.domains.std.StandardDomain.note_object	是	是	是	weak	补丁直接调用	4	补丁+行直接调用候选note_object记录术语用于交叉引用和重复检测，补丁仅改变传入的name参数（不再转小写），依赖候选的公共签名(objtype, name, labelid, location)即可完成，不依赖其内部去重实现细节
A	SUP-045	sphinx-doc__sphinx-7590	sphinx.domains.cpp.ASTBooleanLiteral.get_id	否	否	是	irrelevant	同类邻近上下文	5	候选ASTBooleanLiteral.get_id是另一个类的get_id方法，补丁未调用、未修改、未消费其输出，缺失完全不影响补丁实现
A	SUP-031	django__django-13121	django.db.models.expressions.When.as_sql	否	否	是	irrelevant	同类邻近上下文	5	候选When.as_sql是When类的方法，补丁修改的CombinedExpression.as_sql、DurationExpression.compile、Combinable._combine均属于不同类，补丁不调用、不修改、不消费候选的任何输出或契约，缺失完全不影响补丁实现
A	SUP-034	astropy__astropy-13236	astropy.table.table.Table.dtype	否	否	是	irrelevant	同类邻近上下文	5	补丁仅删除_convert_data_to_col方法中一段过时的类型转换逻辑，候选Table.dtype是Table类的property，补丁不调用、不读取、不修改该候选。缺失完全不影响补丁实现
A	SUP-036	sphinx-doc__sphinx-7590	sphinx.domains.cpp.ASTTrailingTypeSpec.describe_signature	否	否	是	irrelevant	同类邻近上下文	5	候选是不同AST节点类的describe_signature方法，补丁不调用、不修改、不依赖其实现或契约，缺失完全不影响补丁实现UDL支持
A	SUP-033	django__django-13810	django.core.handlers.base.BaseHandler.adapt_method_mode	是	是	是	weak	补丁直接调用	5	补丁核心修复是避免在MiddlewareNotUsed异常导致continue时错误地覆盖handler变量，候选adapt_method_mode在+/-行中调用方式完全一致（参数未变），补丁仅依赖其公共契约（返回适配后的handler），不依赖内部sync_to_async/async_to_sync实现细节。不查看候选实现可稳妥完成补丁
B	SUP-070	mwaskom__seaborn-3187	seaborn._core.scales.Temporal.label	是	否	否	strong	返回值或数据流依赖	5	def label(         self,         formatter: Formatter | None = None, *,         concise: bool = False,     ) -> Temporal， label精确契约、返回值或副作用实质决定补丁正确性。
B	SUP-092	sphinx-doc__sphinx-9461	sphinx.ext.autodoc.__init__.MethodDocumenter.import_object	是	否	否	strong	返回值或数据流依赖	5	def import_object(self, raiseerror: bool = False) -> bool:         ret = super().import_object(raiseerror)         if not ret:             return ret 精确契约、返回值或副作用实质决定补丁正确性。
B	SUP-078	django__django-13212	django.core.validators.RegexValidator.message	否	是	是	weak	同类邻近上下文	5	基线版本源码中message = _('Enter a valid value.')不构成执行依赖
B	SUP-026	pydata__xarray-6938	xarray.core.variable.IndexVariable.data	是	是	否	strong	返回值或数据流依赖	5	基线版本源码 def data(self, data):         raise ValueError(             f"Cannot assign to the .data attribute of dimension coordinate a.k.a IndexVariable {self.name!r}. "             f"Please use DataArray.assign_coords, Dataset.assign_coords or Dataset.assign as appropriate."         ) 精确契约、返回值或副作用实质决定补丁正确性。
B	SUP-063	matplotlib__matplotlib-24870	matplotlib.contour.QuadContourSet._initialize_x_y	是	是	否	strong	补丁直接调用	5	基线版本源码 def _initialize_x_y(self, z)：  精确契约、返回值或副作用实质决定补丁正确性。
B	SUP-075	scikit-learn__scikit-learn-10297	scikit-learn.sklearn.linear_model.ridge._BaseRidgeCV.fit	是	是	否	required	补丁直接调用	5	基线版本源码 def fit(self, X, y, sample_weight=None):         """Fit Ridge regression model          Parameters         ----------         X : array-like, shape = [n_samples, n_features]             Training data          y : array-like, shape = [n_samples] or [n_samples, n_targets]             Target values. Will be cast to X's dtype if necessary          sample_weight : float or array-like of shape [n_samples]             Sample weight          Returns 隐藏候选实现/契约后，无法正确实现或验证官方补丁
B	SUP-002	sympy__sympy-12096	sympy.core.function.Subs.evalf	是	否	是	weak	同类邻近上下文	5	基线版本源码中def evalf(self, prec=None, **options):         return self.doit().evalf(prec, **options)不构成执行依赖
B	SUP-010	pytest-dev__pytest-7432	pytest.src._pytest.skipping.Skip.reason	否	否	是	weak	同类邻近上下文	4	基线版本源码中reason = attr.ib(type=str)在官方补丁不构成执行依赖
B	SUP-051	scikit-learn__scikit-learn-13142	scikit-learn.sklearn.mixture.base.BaseMixture.predict	是	是	否	required	补丁直接调用	5	基线版本源码 def predict(self, X):         """Predict the labels for the data samples in X using trained model.          Parameters         ----------         X : array-like, shape (n_samples, n_features)             List of n_features-dimensional data points. Each row             corresponds to a single data point.          Returns         -------         labels : array, shape (n_samples,)             Component labels.         """         self._check_is_fitted()         X = _check_X(X, None, self.means_.shape[1])         return self._estimate_weighted_log_prob(X).argmax(axis=1) 隐藏候选实现/契约后，无法正确实现或验证官方补丁
B	SUP-069	astropy__astropy-8707	astropy.io.fits.header.Header.fromtextfile	是	是	否	strong	返回值或数据流依赖	5	基线版本源码 def fromtextfile(cls, fileobj, endcard=False):         """         Read a header from a simple text file or file-like object.          Equivalent to::              >>> Header.fromfile(fileobj, sep='\\n', endcard=False,             ...                 padding=False)          See Also         --------         fromfile         """          return cls.fromfile(fileobj, sep='\n', endcard=endcard, padding=False) 精确契约、返回值或副作用实质决定补丁正确性。
B	SUP-030	scikit-learn__scikit-learn-10908	scikit-learn.sklearn.feature_extraction.text.VectorizerMixin._check_vocabulary	是	是	否	required	补丁直接调用	5	基线版本源码 def _check_vocabulary(self):         """Check if vocabulary is empty or missing (not fit-ed)"""         msg = "%(name)s - Vocabulary wasn't fitted."         check_is_fitted(self, 'vocabulary_', msg=msg),          if len(self.vocabulary_) == 0:             raise ValueError("Vocabulary is empty") 隐藏候选实现/契约后，无法正确实现或验证官方补丁
B	SUP-045	sphinx-doc__sphinx-7590	sphinx.domains.cpp.ASTBooleanLiteral.get_id	否	是	否	required	补丁直接调用	5	基线版本源码 def get_id(self, version: int) -> str:         if self.value:             return 'L1E'         else:             return 'L0E' 隐藏候选实现/契约后，无法正确实现或验证官方补丁
B	SUP-008	matplotlib__matplotlib-23412	matplotlib.patches.FancyBboxPatch.get_path	是	否	否	strong	返回值或数据流依赖	5	基线版本源码 def get_path(self):         """Return the mutated path of the rectangle."""         boxstyle = self.get_boxstyle()         x = self._x         y = self._y         width = self._width         height = self._height         m_scale = self.get_mutation_scale()         m_aspect = self.get_mutation_aspect()         # Squeeze the given height by the aspect_ratio.         y, height = y / m_aspect, height / m_aspect         # Call boxstyle with squeezed height.         try:             inspect.signature(boxstyle).bind(x, y, width, height, m_scale)         except TypeError:             # Don't apply aspect twice.             path = boxstyle(x, y, width, height, m_scale, 1)             _api.warn_deprecated(                 "3.4", message="boxstyles must be callable without the "                 "'mutation_aspect' parameter since %(since)s; support for the "                 "old call signature will be removed %(removal)s.")         else:             path = boxstyle(x, y, width, height, m_scale)         vertices, codes = path.vertices, path.codes         # Restore the height.         vertices[:, 1] = vertices[:, 1] * m_aspect         return Path(vertices, codes) 精确契约、返回值或副作用实质决定补丁正确性。
B	SUP-024	django__django-13212	django.forms.fields.TypedMultipleChoiceField.validate	是	否	否	required	补丁直接调用	5	基线版本源码 def validate(self, value):         if value != self.empty_value:             super().validate(value)         elif self.required:             raise ValidationError(self.error_messages['required'], code='required') 隐藏候选实现/契约后，无法正确实现或验证官方补丁
B	SUP-058	astropy__astropy-8707	astropy.io.fits.header.Header.append	是	否	否	strong	契约/类型/常量依赖	5	基线版本源码 append(self, card, useblanks, bottom=False, end)与 image.append(next_image)、cards.append(Card.fromstring(''.join(image))) 依赖候选的明确协议、类型或常量
B	SUP-081	scikit-learn__scikit-learn-14983	scikit-learn.sklearn.model_selection._split.LeaveOneGroupOut.get_n_splits	是	是	否	strong	补丁直接调用	5	基线版本源码 def get_n_splits(self, X=None, y=None, groups=None):         """Returns the number of splitting iterations in the cross-validator          Parameters         ----------         X : object             Always ignored, exists for compatibility.          y : object             Always ignored, exists for compatibility.          groups : array-like, with shape (n_samples,)             Group labels for the samples used while splitting the dataset into             train/test set. This 'groups' parameter must always be specified to             calculate the number of splits, though the other parameters can be             omitted.          Returns         -------         n_splits : int             Returns the number of splitting iterations in the cross-validator.         """         if groups is None:             raise ValueError("The 'groups' parameter should not be None.")         groups = check_array(groups, ensure_2d=False, dtype=None)         return len(np.unique(groups)) 精确契约、返回值或副作用实质决定补丁正确性。
