instance_id	variant	candidate_entities	rendered_entities	source_entities	prefix_source_entities	tail_source_entities	prompt_tokens	context_sha256	prompt_sha256
astropy__astropy-14369	issue	4	4	3	3	0	2199	9b970bfd66043fb488ee10fdc97e66a6df7e75e8df97329050f740fcf7d1482a	02f849d9a865dceac0e72c7673f2b9bd164385ad7c1c76b780c7de480d948867
astropy__astropy-14508	issue	5	5	2	2	0	2317	89c99c2f9c243a39125e159bd094b9e20066a82663ce22edf67dc82e11595509	642316d5405822111e765739852227f3c1c498391b664e488841173751a17f95
astropy__astropy-14539	issue	0	0	0	0	0	1136	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	019ac77a1ea779cfe8fd983a77057f0ac5c1f137f91d4110f8c9af074568b4e3
astropy__astropy-14598	issue	5	5	2	2	0	2190	41447ed4d2d79078d065e2855b2156bf3eafea292a0a67646829cd6adc3be5d5	85ba53bb66ceb000a28cadfc6878b3b8e22c7dda833ed556450685fac514ff79
astropy__astropy-14995	issue	3	3	2	2	0	2041	c738a8da9ced59d785d479283eb55be22f9533cf8e790603f99944e2ab3e85fe	0d6fa74fabd667d7131ca4d3729381327113688bafcf154cf8ece0ee23057819
astropy__astropy-7166	issue	2	2	2	2	0	1832	e46d836cde27ec4b33efd8b98a24c1da768c0c8f3408f05ff0a1ca34d098a009	cc5f74d4cce66025d6fed80c528f66e635ba3f12a5261df470d33cca718dc6be
astropy__astropy-7336	issue	1	1	1	1	0	1830	512c45284e9d6db8259165352dd39b2d35465abc4a9a08d4d0dfe8f37788b7d2	25b59dd1093f4f7219a80dd8aed8fe58435218493f9d94202b67ece8849430c6
astropy__astropy-7606	issue	1	1	1	1	0	1191	a5c574e51396dff11955290c4bc151d278ef539655db1da1499f2aad1e714940	b3daf1a6f818ec74a40d5a414edc5a527105e52d829e023dea18b6a6f3921c8d
astropy__astropy-7671	issue	1	1	1	1	0	1697	4a7320f45bd15f25cf3da6bf4d6786153a6a569e10a99b2a2b64a38f401fba57	83f25fa066aa417eb86efd7b60a6e0ba1ea67cd06561df865697f5fa6c414b5a
astropy__astropy-8707	issue	4	4	3	3	0	1947	5b04e9f3f232c6e6ab460347aba64506abd32e48c65ade471ad7cc2d7e74389c	b24e820db875a63dc1bf7b027d213861f250f2d2f5575988cd5153985a6adbb0
astropy__astropy-8872	issue	2	2	2	2	0	1753	3facce0b56decb04d1369de2e1e4e49409b8420d95d95ed3fe87ff8372e366fd	7cc7157962cac2726eaea78d56e3c52aa00c5a5f915b337528b8a6042732de89
django__django-10097	issue	1	1	1	1	0	1903	3e88576e2adebee3bebf2b45a6206347d8ea54b53d8db77ff1f655cbb6b20e9d	391c0299f144881d28a7c399f4fb020506e15c3157250f65567d3e7ac915f752
django__django-10554	issue	10	10	4	4	0	3164	c71ecec8f2b8468100c8daed80512cd9e1863b319afb1737f0605605e952d65c	3f52d783cfdb155744ff60c59ebfb02cfd38adcf979388a95eff23fb22dfbcb6
django__django-10880	issue	4	4	4	4	0	1900	91976bddd1999f42ed83d17ed12e5a862a613534e9030cb05eabab6045a84633	548cdbb9924e47c15b090d99b91d5daed69ff11511d055451caa128ed81454be
django__django-10914	issue	8	8	4	4	0	2887	e798622f81b871a510ed3d7886627403b31f18c73e438ac7433a2631fc7cf6ae	20310b8629f789c5a4cbb6c66f2819ee5808e5174776e429464d9facedf5d12b
django__django-10973	issue	4	4	2	2	0	1638	856b8de5707bf1bb91c4e2057128510bf529773f0f39bea96dfc420696c1a69e	346458423f3cc9d8ccf404f8f9f0e2e9d77316a9c546984a18b47dff3ca41557
django__django-10999	issue	1	1	1	1	0	1236	c30fac7e4381b8dbcb98bc902fe1a921dbc7b4fe7296c211972b79d21daa4711	3241592daa75c4c15994f5bc0feed42dea4f70242e341ff466ef458a5ac76cf0
django__django-11066	issue	1	1	1	1	0	1561	d1747c3bbe053355b3a969325a5af4cddcb9624b86aa55596817217697da026b	d0bd433bde8aa845ad055041e0e7ca08366e65be7212d3827815c2d442821592
django__django-11087	issue	7	7	4	4	0	3400	6e309f319c5f9ac996e4a825b0a9517049a06923a297400a548feb03a5bcd4d5	0311962c1c09ad00f6b506790e16e9fffc9332d9d13884f0d205e827e6033d4b
django__django-11095	issue	4	4	2	2	0	1243	0cda4eb74b614a599f621b73253924e2b95fef39cf04d5e14669c87d6188df82	e7596674ce5e14608d5ad41d294ad64a58551b4c57bbfd7f5e87dc8322bd5606
django__django-11099	issue	0	0	0	0	0	861	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	397c32cd0ce88bea92007201cc0a3001f315b6fb8578f44a40fed5fd79f2150c
django__django-11119	issue	4	4	2	2	0	1938	90fde1bff53d39c0181f248ba253fef8ab2efeb4eb5303b21db4dfc342402380	dc048c9cef887b071b2aeb1ce59bf573d9c45b372f894e5c3da22a849bf9a1f6
django__django-11133	issue	4	4	3	3	0	2015	53962e563a97b2577bfcec091019adc64ed93499e65c3142f1636363c4c5abff	58bb62f6165b9385b6c305a26b22919482847f8b18de430c728f02e025fecf6c
django__django-11138	issue	9	9	4	4	0	2501	a8c2f4fd2c12cfd2c83347f99e4193ea3990574bf680eb9f1c24820fe71a89ec	73d40b7b87bda2e968cda122a9a01746e1c33fc2f43c4f1ba946a27de0c6d2b3
django__django-11141	issue	6	6	3	3	0	2169	a8d4abb6c470d056d06704d62818d73276fbfa0b0fe701ea0847ed3c2be91813	2284867572617a5127b88a1906de784c7eb85ad32aa0e735a23c97704994d3bf
django__django-11149	issue	9	9	2	2	0	1736	4fb5cd6baaee41bd5e10ec0c563fc8a6f575360b3ee051d66d0744a7776be38a	7f82984943fe25ecc8b0fd7df45d30ef460a1789a2791de82674eebb81f20997
django__django-11163	issue	1	1	1	1	0	1068	64fa4200fc407dd9c1e0bb4ad237e902edae79fdeaafffbe155351f655d520d3	8a0a0a3360635377b2fb9ca1efeab64625cd828120823d556e0722905b372c31
django__django-11179	issue	3	3	3	3	0	1931	d017ac1b546a4727661ff2b6ec393dc52bb9491fc8b195549d0fa97b1eeb8733	f4feda813827ae4eff4f8f9ab04821a2d0d12b15100a0cdd36430e90005c44ee
django__django-11206	issue	1	1	1	1	0	1348	f8915445f3d8b78e759051ce11e206761e2ae108bbe687f3f7caa47db402f6b3	e52c8ef2385e875e84f4214ed4040cb455d7499ee38bf2ae0eaf98840460da4d
django__django-11211	issue	7	7	4	4	0	2045	a898e6b4f9340b1ed6e74c13c1ec06f78e75a4620359a93ef37871b94fa6e7f8	f6a8a95478dcee749a97fde48387549c7baa833433b9d6648b22b18a3b22c56c
django__django-11239	issue	2	2	2	2	0	1539	e992b30353543acb29e4745c795a89808a746dcdb5a9a66710b1de81bf57f0af	f7136bbcb0ac4a5292354caad21849a36ed1be2c6ef07111120b7f07b4d46d3c
django__django-11265	issue	10	10	4	4	0	3352	11ac4cb449e167f8ef024688397442c570a16c4e08794265201d6e4093f124ce	995f58a57f200401a1a3d8a3573fffa51ac0274133e49d2903b7aa08153f1f82
django__django-11276	issue	9	9	4	4	0	1965	5966f9c35fde7bfcc868d4e1646cfcfb5392a283bcaea2556c24627a1a59d4ad	4ae57a9f779f577c794b60469d5a8a6025a446b50fb2991cea22296cbc17c724
django__django-11292	issue	8	8	4	4	0	2526	da879a93fa42d085b2d30d40b4c1c7e40019d077557a75344933fa0ef2e1c144	58409f4a783a3a51768f14cb4bd36d27195acb714017cc49f751343233c52830
django__django-11299	issue	2	2	2	2	0	2179	21f0a05f607b5bb590ad062423ad9fff5f9f9183503b328c859f743adb0988e2	3738bafae9028e4b11d175fb229a4021f90c949fafbb47057f37c84490be18d8
django__django-11333	issue	6	6	4	4	0	1899	2a36dbae5066df6e5c77642e1f471ca0d1cf56ef76f20b0b7d24d4c4697bd437	2335a15d577f39de06c1b3d38a9369a7c528035b9b47cf0ad6633f24e491bad8
django__django-11400	issue	2	2	2	2	0	1866	5c2f1eb3e5ce2e8ad2de15a383778265b51222fc5291bbaf59f544ef00deadf7	307b359c014a7b7a95d57c9e85257ad4cf40519117ef9873b5e887dc8459a9f4
django__django-11433	issue	8	8	4	4	0	2252	4079ce16c02d43a77cd308e7a178d4afa9451bb3c9e042e8f56691948fee8da4	5c1d66d97026814fa551d87ffc3ecbc75c1d08d43b5a5be4622fb73cb8499ccc
django__django-11451	issue	1	1	1	1	0	1607	ff5530c687cdd3b1085b6dd3c688fd5919e274220ff702d3997b86c631645c91	6a8d0aff55d3ac4f2467090d81f694b8b1f62c64eb3d27785714485fb494b582
django__django-11477	issue	6	6	4	4	0	1905	28cf9a7ab6784c217eb56cfb3446d0e4c22edc34ec904a51c91cbedc3f0d7559	604bd8dd14c5ac142af4561500f10fb92a91e7c788c48555e100553590654798
django__django-11490	issue	9	9	4	4	0	2651	ce3379702e919f1a5d9e8df0be354d53f6bbf3be8172f5656307c675487e0e92	e3f9bfeb6193d16ed3cb33bacc7179ba2c07cd672d5da00ff68e6a294feee063
django__django-11532	issue	4	4	2	2	0	2185	891bcbca9dc78f77313b4310032813020327a65dad17c0ef125692279dcc4fcc	5a0b4d390f2e774dc7e4b448bd338aef6aade2447ea98c9e0ddff3f5039a56aa
django__django-11551	issue	2	2	2	2	0	2413	a9a84e860dc717ebcb2f8486fdfeb16407f2ec9ca69b1e513e902a83dfc1e088	1825442092a5699a4eaa6c01dcfd57993672117de6259213d4111acd73475881
django__django-11555	issue	5	5	4	4	0	2181	4df7c2c47c24c894a3e67a9dfad36dee10423ee29771d3561b65428fb4cb63b0	497891381489ecb2961d544a91b01cf6310a3a7148848486eab976a44221e723
django__django-11603	issue	0	0	0	0	0	772	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3a78bfd478558e42a3fa5c5bfc783d38bc9686dc4deeb72467fc82e8580dc4b4
django__django-11728	issue	0	0	0	0	0	807	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	715988e1bce7372b1e6785566977aa6136ba6bd32ff4b19750e1eaf39455baa3
django__django-11734	issue	8	8	4	4	0	2941	81f3d00449324fdb02b1bbff08884b1a434f707fb15b142c225e7e08f542c19f	ba63f9b550aaac0e1e7322e7a7e6fc1968dade1457eee65f93d14ddc4b543237
django__django-11740	issue	7	7	4	4	0	2797	0295e5bac178e79ebaaa16231c04251483123f431fc4c5eb2a56fa8729afc740	710e5c1767beca8c398bf474b085965f5255c1c428578928d3b23a7535f6137c
django__django-11749	issue	2	2	2	2	0	1663	30812ef3f56e761b67faccae148aa1a209c91a3fe483ed70c8271e132e8f931c	a1fac4d2e079143afbaac61a336383e79710e9b8b4b3971e0547c1d4df17d701
django__django-11790	issue	6	6	4	4	0	2402	3e94db12ef2a27d35b34d6afc0951018e7311c1cebb9fada28a37521f4d38239	02d026b7abfe593e1428e8ce8b8b540626fe5514926f08b4de0b5535ab4e6672
django__django-11815	issue	1	1	1	1	0	1234	c5f921bce620c3d12d8f4f3ac21134b8de8c34a1982b709a1cf40822fa6dbd1c	56dc2c6356fee7f78263b430c5f719d372426e24144d9ce723f41412702ccc77
django__django-11820	issue	5	5	4	4	0	2069	d0f6efa67ec9df16e1d88dafcf9351d860cddff7528fc798b2545b9c2b022a26	707f0cf8cf7e2fc1a5c01690f39268b605f6345374e3dfbd221202bf67418936
django__django-11848	issue	1	1	1	1	0	1257	0c050eb670e43841cf10c5f2b207fc4924cb557a216513b782bdfec3db3685de	dcd48b07586175924bad1af929bcee86480275f48d5a7e4698d02f99dad68556
django__django-11880	issue	0	0	0	0	0	955	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	6ec7549a4ed0ffcede90347052ffde5e1b816e6aff1b170d3f884221f6c4e509
django__django-11885	issue	7	7	4	4	0	2694	5503913f1ee2a193d3380c6ac6242d0c75da84bae73ec0dd3600562c89fab945	3880389a0b33036ddb568ec071e8edbed4ae9c5a8c698cd00d4cc1c2cd3cdd26
django__django-11951	issue	0	0	0	0	0	845	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a13d6d7d3288004457ba6114b37c3bbaf0f947d1fe08a13e191a10e88be4f66b
django__django-11964	issue	0	0	0	0	0	1208	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bc885156630d7e6f988b206b77270721304e019e4a817d6380c71366d533d375
django__django-11999	issue	3	3	3	3	0	1615	53fc87d4750aaa7138517d4872506b23d68a060613b0144c993068e14d33871c	41bd9aa5a6343234b1d2cbcd22cebdeb2697e783bb09b70135d0724082fda993
django__django-12039	issue	5	5	3	3	0	1966	b558d0a0f6fece5bcc37665deac2e9d6971cebc4d2fa37adc83417646f8dee9a	ce0fc223fd6f79c4373fb3167f02e8ae81103270b324f8acb9a693f7e984b074
django__django-12050	issue	4	4	4	4	0	1899	7a27b9fb9d949a793103de7020664bfc9bac79bcc96a1d25520ec2df144c2cec	7e3fc6ace93e20d4f5d9521e233bc5ddb8626fa6e32f6bdec63d57d293659a55
django__django-12125	issue	8	8	4	4	0	2299	ed033eb640c50dd798adc6cb6529a8374ade3d3862405b4b2d13d34036f5b7c5	b173d7777014a0f3ed963c510c7b5f309e54609f16eba3eccfa8775b8585fa66
django__django-12143	issue	1	1	1	1	0	1204	4e1699455b77118a2ac21ec4e5817e31dcdeff267248b76ad1f3b89f2a94cc06	30c9bec89c41bd3b5abba52b8f81cf9edb772d8d1f804e0fd9eabf25678153d2
django__django-12155	issue	1	1	1	1	0	1116	13d21b02427a211ad98354ad7b8f3839d6f2fd84ce4346e2d1477962331f9d05	80281f7a797700a86b5ea9ac736f749bc0f9e00b8d35eb75ca687119d47f74f4
django__django-12193	issue	5	5	4	4	0	2395	5620e3a90439e0df5397d72a6adf51bcf7abb4ea34ff05e06bb3db1da1b1f1e3	ec4d884d6840e34e316d85735e2011ccd6165256fb0799a8c82ea93634122743
django__django-12209	issue	0	0	0	0	0	960	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	6bea1c531e1ed0bbf98fedfbd3733ca60d8e693ed4260c2b0cdc816ce6d54b25
django__django-12262	issue	4	4	2	2	0	1917	728600fc50af5acbdebf3b5f3dc0a8f24e4ef4952e14afdfa4c5b0ca021d7964	a7b3f30e99f3869fa1c62810e855eecf40717cac2aa0691a8435062bce8c6fe8
django__django-12273	issue	7	7	2	2	0	2096	3a823fb556965b50adcf6f8bb5633add16ef7f2876b5ee032e90e0cfe24039b7	958ce492a74b747ae79db9e5245a1c353cdd2189955529d41608a095b505e768
django__django-12276	issue	2	2	2	2	0	1894	4cdbd45f978ae7feb065aafc9123591d754bd82a0aa76127425ab69d88089fcf	d67e0e8a7cb018790b2ea410b3c7af0ea9c6e71f8541d4e88ced8256571c50d8
django__django-12304	issue	0	0	0	0	0	815	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	f7daefa351d5fcc429d331505f77d4975d1c91a0ecc36f7b14b1a6de88aa24b3
django__django-12308	issue	6	6	4	4	0	2146	779b8bed1acd8e8d2cd40e503ce685bcd7be37df841892c91dd739f64ac3c692	6632a44ff2225ed8c0da0a4e7cb5e537cdc4c77d11e0b43b6c502393ce8d4bf0
django__django-12325	issue	6	6	4	4	0	2813	bd56fbdfde6882d7480066ddcd68d11dc130ea874a4980ad2557ecb8772ffda2	7dc715bf2ab677bae7055e521b83c075b252284bb296dc494c6abc458ce5aec9
django__django-12406	issue	10	10	4	4	0	2713	a996cf50536303eb95cdc99c98d4597a2a7733ae163f17e01db2002973de069a	1cb275ccb3aa99c2aa93688f39c16db6f15916ebea47a248885066f468eaa578
django__django-12419	issue	3	3	2	2	0	1843	5dbd499c8169ac7046ea4dafc2ff8e1d2519eb4103d75f5a809b72dd2d88e60a	994548aa3aefe24e6265be73f415a03ff5d358c09c5935056bae0b0b7aa7b7cc
django__django-12663	issue	3	3	3	3	0	2263	7cd941ba6aa908a47bfdd4bf7963467660d61a2e213cdd3cd31ad9e72ad8cab5	8e93c414dba89f1c803fe32c83997198dd6aee5eb7d79a1b86310ca0594a70e0
django__django-12708	issue	6	6	4	4	0	2147	2b5b7c6f6c052e6efea1de214dafa46f7747d34698fd6a7839eca050bc254c24	067e2627a19bd1cf0506f40d2121a340a75f2e06bc29fe43b68afc37ab6b31e1
django__django-12713	issue	4	4	3	3	0	1931	de220f6a5e30f68089f5bd4bd1d193177d331738546d7d80e0cb709aae1066d5	39e0f7189659c16ca5fe593ce15de41635c0cb942c1a7f99239dfa412fd2f01b
django__django-12741	issue	2	2	2	2	0	1286	c1121a9b04ee23ceef1f12adb72f196019af70e0bea491c4312372014d006e08	30d549ea244427f4e7b8cbfdc31a730cb1a9e970c22246222309818e2d245be3
django__django-12754	issue	8	8	4	4	0	2296	474416bf836a44404001e57a8b6ba75c8413e4495ca0e479aea61a45b3b12b36	86aad9c4bfd59483b9a78303f743a17643d57e3c34193e84c553fd7638943680
django__django-12774	issue	0	0	0	0	0	977	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e4a4701a9ebbfcf3ef20c1e29ddaed87340e351b0081fef7c4cd3281fc9f13e4
django__django-12858	issue	6	6	4	4	0	2480	8cfd57352b4966259a25608267007c5199e294b33bc99937f9dedbfcda78fd2a	ee5dae9fa9daa41bdcace7a6cbfbff3c712ed7143735dbb98e155e7528c5d94c
django__django-12965	issue	6	6	4	4	0	3122	a3ca6259ce34aff7d3ace7dc8018f188b99608b26be4c086ca70d876d7c1be08	7df1db9e3beac6a9e2d4fabe4717c050765a89ccfb520f86ef91c4e990417730
django__django-13012	issue	7	7	4	4	0	2262	d75eece7a93367ec455ab8e80d06261a69c799561b613c977625feb972996c99	879e637c30c4f401f4721fd0f45939efcf603b653cd946e08fc2750c1c77c9bd
django__django-13023	issue	2	2	2	2	0	1449	fa29ee24a03f2aa1c8f679bf1fe619a14687eed0f6c86c1b36d64262299db630	9306c14e9c5a8c5ca22271f9de3f5f27d95f813a520e4a11c13654e83baaf46a
django__django-13028	issue	2	2	2	2	0	1937	9d2d0a6bc0ee02a98fa8c7b556152562300b5da4e11626b38d2c297103537681	1c34f64aa2e4a783895a4b9a1766378e51108c49685a39da49d7b6b2aeaa55f7
django__django-13033	issue	8	8	4	4	0	3349	af399349aff639485878fb8c07e8e6ba3c72d34aca0e473e4d65b061059cc956	2ea04faf89af4070c9d01df313eff8b801b8c5ec0da99154dd091014746db6b4
django__django-13089	issue	1	1	1	1	0	1371	20f54555b36a85503d5995a8c75e243005905bbded7d41e68b8f400e2be5e152	ce59f2558eca7731009248d8713a34c9773c8308e2aedf2f64538a3e9b014250
django__django-13109	issue	1	1	1	1	0	1380	8610de1e21e4f3bcbf860d14347ef290de121853379aeb086d228ef98a582d39	16f5ac5998a893b34d2ff3754499dd15a8b31f10550128598e4c6b51aff1e2d0
django__django-13112	issue	10	10	4	4	0	3311	c414be91814c2b68086bd78f60dbd31a0be9e5d92609f5e9acc081145d0f8d75	29323c11cf4c7f751b2f2e101dd3bbb0ddb87bda2b159fc12bed35710f267e99
django__django-13121	issue	7	7	4	4	0	2068	136f0ccff17bb56c943849fce7cf924676605caf3ccd93e83ceafcd908db3ff8	a575956a2a41c14e295a1cc6017568e5390de204b73b59e43ae83f076145e253
django__django-13128	issue	6	6	2	2	0	1743	fbfb9a8eb5a95b38cad97fd2bdb3b7d7768027b0203acb8fd35b36aee32d7f5f	4f0dd990a0a287b5e9a8fe665c06c4dd114bcef77484582e0cd4db436139ae7c
django__django-13158	issue	10	10	4	4	0	2342	a9149871c3502b458bf9516b242474b32cb47143ecafb7dfd47942bed4b99719	8328996400b7621c766840eb032482bcf30c062e5742bdae873b386020057b12
django__django-13195	issue	1	1	1	1	0	1458	98433749522ede7446851b9005a078e8f336ce21169a09e56330060e3c253429	b7738c08f90dfa9a909578f095f8719832962bd8fe8d321e7e04d100a7830157
django__django-13212	issue	2	2	2	2	0	1768	35b6bb7575f9aafa529d0c42c421e78d3ec9eadc5ccab7aa80d9f093eca036e1	1bc49b8476828ceb9fb070ceea298d8e7884f658122be8221a1e86af2bf9c24c
django__django-13279	issue	5	5	3	3	0	1397	88a189767ae7df76bc6a1e032668d513c659845353fdb3d0e8b2781f25884e95	4c9f8f712c6b40e2ab0783564714efa50d5d974ecbb53d41a17ffbb0e7f976ac
django__django-13297	issue	11	11	5	4	1	2926	7dde211f6aac5a970576606599a6dcff000147397993cf22b07d380229ef5a0e	b2e833c06768f79d97d3376da508de9b497d704f7cd3cdd236f429d90ae0a44a
django__django-13315	issue	8	8	4	4	0	2676	cecec1b140df159c0a567f61e9faae25827acb327a55a5308ef58d0555384988	e7bc3cf2c1682d61c4b0435f5dd7b291f83cc4a896a463903a19803e20d54436
django__django-13343	issue	4	4	2	2	0	2049	058c4c1ddac02aa5ea5c061e07230c27ad719e73a45f10bbad4161d576a62f3d	a64f557d271705a516e117b85588eacb5dc96176e4fbdcdce00c495b0bacc7cb
django__django-13344	issue	6	6	4	4	0	2665	78b41ab25af86d42d5936b4f39f847af7c5c4e2468b6de4c43600b59bad4fa09	0db157ca4913927daec9da58f640d14b809ac2555479bed1e159cd9ab233552e
django__django-13346	issue	5	5	4	4	0	2144	a1936a9e9224c5e2db273c2b3b0e5369f4d0ffced0d4c865a087c6892bc8b4a3	cd71f36cdc6a7ed490cbf710c18cfb16428fe7e153e707cc09d123607958ef4a
django__django-13363	issue	2	2	2	2	0	1479	885dd53e26c02db6460f35a923bc28e6f3684633ec074e253fd0e6159f35b034	669a3e3dbe49b0c264a1e868323cd0e5f33f385d27a3e636fbb61dfaa98565c1
django__django-13401	issue	3	3	2	2	0	1268	84f508bb5cc2a5b9872fe87452e8f6e0c7c5f2ac7161d73f0044f5929aab95cf	1c21e785b124201e4d29d1f4a7e3456369676d33f84452f260907b09f1164041
django__django-13406	issue	7	7	4	4	0	2903	2a6399030790f201a6300c71b41590b8b747d5e18f67288e57da37c934241121	2a6df90bcd8e0047f8de7e3ebd013ff23e0ee19df0cfaabddb63b01f58f09364
django__django-13410	issue	0	0	0	0	0	1048	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2aad4ef12e3029edb73a2a5b15c37e45a03cd695f9d4b72de7497b9bdc41e995
django__django-13417	issue	8	8	4	4	0	2181	0b9d251d70c5a09d3d69545f5163d659c1ea20b06692923b830200696a809b44	1d8d2ee70781fba2529b44fc60ba06f5303948c8539e2f4f00544941df291468
django__django-13449	issue	1	1	1	1	0	2366	5cd1421fce0b5fadcba9b946ca88d2a99fde32bcadb0d2ae002c5d1a325e2463	fa92fde48d0ee3b77d0dc7a77be24b02afb727f408604873a7362cdd839200ac
django__django-13512	issue	7	7	4	4	0	2658	ec549c556f1a0393611e02b6d760ee6c125c421c4a9683e4360459109c11a440	f923a258b03a593107204e6b76758f5db26ab26177ab09e7ca13be1442e5b6e8
django__django-13513	issue	1	1	1	1	0	1714	4b1d9f2818520ae9a04a99b3d1c2c7d030fdc0cc5637ee126dab7400d0317036	a486a0a8a1d6758e329cb37e2611dc3d5713366ee2dc4de56ea89d0e7ca0af8d
django__django-13516	issue	6	6	4	4	0	2276	90e553d2676d66975fc58d0308d2e35c09eb696c8e6bba13bb8e4c190c80e09d	845bde7d30c4397763b1eebdfb3affad5ec7162052d193b70dc203a00fb6aaa5
django__django-13551	issue	5	5	3	3	0	2235	4692698e2734de27fccacd847f5d8df362924548674cd44a4ba392d1b02b6b92	1612b157940e1a7d32dcf801d1d2a99c2d2558e96d11a66f147785b6ba603b25
django__django-13568	issue	1	1	1	1	0	1617	efd6e6ae2509a8a811298af48b13d2ee2723143e6ce6b537bf53792ae4b3737a	71e1a229be07f3b6822318e82476cec1f4c7fa86d04227246c174a572accda1a
django__django-13569	issue	4	4	3	3	0	2350	72ea30fa004dd25a06a4d28410ab05bb6021819e879facb586cb2c74f96740b0	b2fdf24c6ebaf9c1be475fd0864e5029a3d5c5c6a4d82e3366f2b1451cbe7180
django__django-13590	issue	1	1	1	1	0	1107	f209d88af808caee63f713b2cf2375973d3413005f35857d1eb880da17fa83f1	dce5295d3098d1baa3f87e86f63e61c21da99e046a08f167f350cf6ff30f362a
django__django-13658	issue	1	1	1	1	0	1158	70e45b4c506c2c6aed67103220428989db90132d4199d2dadce74d5686541c10	70f67e6a9f970adb9812760ede63986d0f4fa0a1d883ae6ed28ca620f49158ab
django__django-13670	issue	2	2	2	2	0	1768	efe834cb338003f8e937fec2c2ca20a509380a25346612738d5d4a45c1815f2e	33765291ec317b34b18a956a1c40d634a3fb9aa9cf4316148910221f0ae1754d
django__django-13741	issue	2	2	2	2	0	1418	2c9fb71c70a8b909788d6496dc55b96b1110c8540a6bec95a0f469dc0d65b15d	9912020f12b2b05e3bf26b70f93e7f690a7588b3269b308d5214d7f4b0dd8a25
django__django-13786	issue	2	2	2	2	0	1891	16bcd056a13a5e67201bd491a3bd479fd85c174d1a5ed2ed9f19f4bf7306652b	a80a70bf3cea754dc6b1e9f629efcaad98809c12bf0b42e9d68c8ca8b5abd8b6
django__django-13794	issue	4	4	4	4	0	1656	7353b46d201febe6d44351b3fe0e65807080ef6641590cfd4da3b8f25637d48e	8af1f6b2d9a47294c35365d63233ac505ef72ca85606f42f258e34531a1e5bc4
