annotator	annotation_id	instance_id	mapping_label	missing_entity	extra_entity	confidence	changed_region_record	rationale
A	GT-010	astropy__astropy-14182	部分正确	是	是	5	astropy/io/ascii/rst.py::astropy.io.ascii.rst.SimpleRSTData astropy/io/ascii/rst.py::astropy.io.ascii.rst.RST.init astropy/io/ascii/rst.py::astropy.io.ascii.rst.RST.write astropy/io/ascii/rst.py::astropy.io.ascii.rst.RST.read	补丁实际编辑4个实体：(1)SimpleRSTData类删除类属性start_line = 3（-27行）；(2)RST.__init__签名从(self)改为(self, header_rows=None)且super().__init__调用新增header_rows=header_rows（+57~60行）；(3)RST.write方法体将固定索引lines[1]改为动态lines[idx]其中idx = len(self.header.header_rows)（+63~65行）；(4)新增方法RST.read（+67~69行），按A-2为新增编辑实体。自动映射正确覆盖了前三个，但遗漏了RST.read且错误地将RST类整体列为编辑实体
A	GT-015	pytest-dev__pytest-10051	部分正确	是	是	5	src/_pytest/logging.py::_pytest.logging.LogCaptureHandler.clear src/_pytest/logging.py::_pytest.logging.LogCaptureFixture.clear	补丁涉及两处实质性编辑：(1)在LogCaptureHandler类中新增方法clear（+344~347行，含self.records.clear()和self.stream = StringIO()），按A-2新增方法为编辑实体，应以方法级全限定名列出而非其所属类；(2)LogCaptureFixture.clear方法体中将self.handler.reset()改为self.handler.clear()（+443行）。此外diff中删除模块级空行（-40行）为无关紧要的空白清理，不构成独立编辑实体。自动映射将LogCaptureHandler类整体列为编辑实体粒度错误，类本身未被新增或删除，仅新增了其中一个方法
A	GT-026	django__django-11138	正确	否	否	5	django/db/backends/mysql/operations.py::django.db.backends.mysql.operations.DatabaseOperations._convert_field_to_tz django/db/backends/oracle/operations.py::django.db.backends.oracle.operations.DatabaseOperations._convert_field_to_tz django/db/backends/sqlite3/base.py::django.db.backends.sqlite3.base.DatabaseWrapper.get_new_connection django/db/backends/sqlite3/base.py::django.db.backends.sqlite3.base._sqlite_datetime_parse django/db/backends/sqlite3/base.py::django.db.backends.sqlite3.base._sqlite_datetime_cast_date django/db/backends/sqlite3/base.py::django.db.backends.sqlite3.base._sqlite_datetime_cast_time django/db/backends/sqlite3/base.py::django.db.backends.sqlite3.base._sqlite_datetime_extract django/db/backends/sqlite3/base.py::django.db.backends.sqlite3.base._sqlite_datetime_trunc django/db/backends/sqlite3/operations.py::django.db.backends.sqlite3.operations.DatabaseOperations._convert_tzname_to_sql django/db/backends/sqlite3/operations.py::django.db.backends.sqlite3.operations.DatabaseOperations.datetime_cast_date_sql django/db/backends/sqlite3/operations.py::django.db.backends.sqlite3.operations.DatabaseOperations.datetime_cast_time_sql django/db/backends/sqlite3/operations.py::django.db.backends.sqlite3.operations.DatabaseOperations.datetime_extract_sql django/db/backends/sqlite3/operations.py::django.db.backends.sqlite3.operations.DatabaseOperations.datetime_trunc_sql	补丁修改4个文件共13个实体：(1)mysql/operations.py中_convert_field_to_tz的条件从if settings.USE_TZ改为if settings.USE_TZ and self.connection.timezone_name != tzname且CONVERT_TZ中硬编码'UTC'替换为self.connection.timezone_name（+69行）；(2)oracle/operations.py中_convert_field_to_tz同样将'0:00'(UTC)替换为self.connection.timezone_name并增加时区相同则跳过转换的判断（+99~111行）；(3)sqlite3/base.py中get_new_connection的4个create_function调用参数数量+1（+195~200行），_sqlite_datetime_parse签名新增conn_tzname参数并增加对应逻辑（+398~410行），_sqlite_datetime_cast_date（+445行）、_sqlite_datetime_cast_time（+451行）、_sqlite_datetime_extract（+458行）、_sqlite_datetime_trunc（+476行）均新增conn_tzname参数并传递；(4)sqlite3/operations.py中_convert_tzname_to_sql重命名为_convert_tznames_to_sql并改为返回两个时区值（+87~90行），datetime_cast_date_sql（+92行）、datetime_cast_time_sql（+97行）、datetime_extract_sql（+102行）、datetime_trunc_sql（+107行）相应适配新的双值返回和参数展开。自动映射覆盖全部13个实体，无遗漏无多余。注意_convert_tzname_to_sql已重命名为_convert_tznames_to_sql，自动映射使用旧名但指向同一代码位置
A	GT-005	django__django-15161	错误	是	否	5	django/db/models/expressions.py::django.db.models.expressions.Func django/db/models/expressions.py::django.db.models.expressions.Value django/db/models/expressions.py::django.db.models.expressions.ExpressionWrapper django/db/models/expressions.py::django.db.models.expressions.When django/db/models/expressions.py::django.db.models.expressions.Case django/db/models/expressions.py::django.db.models.expressions.OrderBy	补丁在expressions.py中为6个已有类添加@deconstructible(path='…')装饰器：Func（+651行）、Value（+732行）、ExpressionWrapper（+955行）、When（+988行）、Case（+1056行）、OrderBy（+1230行）。每个类的定义被直接修改（新增装饰器行），按A-2均属编辑实体。自动映射未列出任何实体，遗漏全部6个
A	GT-021	matplotlib__matplotlib-26466	部分正确	否	是	5	lib/matplotlib/text.py::matplotlib.text.OffsetFrom.init lib/matplotlib/text.py::matplotlib.text.OffsetFrom._get_scale lib/matplotlib/text.py::matplotlib.text.OffsetFrom.call lib/matplotlib/text.py::matplotlib.text._AnnotationBase.init	补丁实际编辑4个实体：(1)OffsetFrom.__init__（+1389~1391行）将self._ref_coord = ref_coord替换为x, y = ref_coord; self._ref_coord = x, y以强制复制数组；(2)OffsetFrom._get_scale（-1407~1413行）整个方法被删除；(3)OffsetFrom.__call__（+1437~1439行）删除对已移除的_get_scale的调用，内联为scale = 1 if self._unit == "pixels" else renderer.points_to_pixels(1)并简化Affine2D().scale(scale).translate(x, y)返回；(4)_AnnotationBase.__init__（+1447~1450行）同样将self.xy = xy替换为x, y = xy; self.xy = x, y。OffsetFrom类本身未被新增或删除，按A-2不应列为编辑实体
A	GT-001	django__django-13410	错误	是	否	5	django/core/files/locks.py::django.core.files.locks.lock django/core/files/locks.py::django.core.files.locks.unlock	补丁在else分支下修改了两个模块级函数：(1)lock函数（+110~114行）将ret = fcntl.flock(_fd(f), flags); return ret == 0替换为try-except结构，fcntl.flock调用成功返回True、捕获BlockingIOError返回False；(2)unlock函数（+116~117行）将ret = fcntl.flock(_fd(f), fcntl.LOCK_UN); return ret == 0替换为直接调用fcntl.flock并返回True。无import变更、无新增/删除类
A	GT-060	pytest-dev__pytest-7571	正确	否	否	5	src/_pytest/logging.py::_pytest.logging.LogCaptureFixture.init src/_pytest/logging.py::_pytest.logging.LogCaptureFixture._finalize src/_pytest/logging.py::_pytest.logging.LogCaptureFixture.set_level	补丁实际编辑三个方法体：(1)LogCaptureFixture.__init__新增self._initial_handler_level = None（+345行）；(2)LogCaptureFixture._finalize新增if块调用self.handler.setLevel(self._initial_handler_level)（+354~355行）；(3)LogCaptureFixture.set_level新增self._initial_handler_level = self.handler.level（+437行）
A	GT-058	pydata__xarray-4629	正确	否	否	5	xarray/core/merge.py::xarray.core.merge.merge_attrs	补丁仅修改merge_attrs函数体中combine_attrs == "override"分支的返回值（+501行），将return variable_attrs[0]替换为return dict(variable_attrs[0])，使返回的是副本而非原字典引用
A	GT-007	django__django-16454	错误	是	否	5	django/core/management/base.py::模块级导入 django/core/management/base.py::django.core.management.base.CommandParser.add_subparsers	补丁包含两处实际变更行：(1)第6行新增导入+from functools import partial，按A-3属于模块级导入编辑实体；(2)第72~79行在CommandParser类中新增方法add_subparsers（+行），按A-2属于新增编辑实体
A	GT-022	pytest-dev__pytest-6197	部分正确	否	是	5	src/_pytest/python.py::_pytest.python.Module.init src/_pytest/python.py::_pytest.python.Package.collect src/_pytest/python.py::_pytest.python.PyobjMixin._mount_obj_if_needed src/_pytest/python.py::_pytest.python.PyobjMixin.obj	补丁实际编辑5个方法：(1)Module.__init__整个方法被删除（-432~440行），原先在__init__中检查__init__.py设置_ALLOW_MARKERS=False的逻辑被移除；(2)Package.collect中删除self._mount_obj_if_needed()调用（-639行）；(3)PyobjMixin._mount_obj_if_needed整个方法被删除（-251行），其逻辑被内联；(4)PyobjMixin.objgetter被重写，内联了原_mount_obj_if_needed的逻辑，且get_unpacked_marks(obj)改为get_unpacked_marks(self.obj)（+251~259行）；(5)PyobjMixin.objsetter代码不变但位置移动（-/+行）。Module类和PyobjMixin类本身未被新增或删除，按A-2不应列为编辑实体
A	GT-054	astropy__astropy-14539	正确	否	否	5	astropy/io/fits/diff.py::astropy.io.fits.diff.TableDataDiff._diff	补丁仅在TableDataDiff._diff方法体中修改一处条件判断（+1449行），将elif "P" in col.format:扩展为elif "P" in col.format or "Q" in col.format:，使Q格式（VLA）列也能走对应差异比较分支
A	GT-013	pydata__xarray-3095	部分正确	是	是	5	xarray/core/indexing.py::模块级导入 xarray/core/indexing.py::xarray.core.indexing.PandasIndexAdapter.init xarray/core/indexing.py::xarray.core.indexing.PandasIndexAdapter.dtype xarray/core/indexing.py::xarray.core.indexing.PandasIndexAdapter.array xarray/core/indexing.py::xarray.core.indexing.PandasIndexAdapter.shape xarray/core/indexing.py::xarray.core.indexing.PandasIndexAdapter.getitem xarray/core/indexing.py::xarray.core.indexing.PandasIndexAdapter.transpose xarray/core/indexing.py::xarray.core.indexing.PandasIndexAdapter.repr xarray/core/indexing.py::xarray.core.indexing.PandasIndexAdapter.copy xarray/core/variable.py::xarray.core.variable.IndexVariable.copy	补丁实际编辑10个实体：(1)indexing.py第3行from typing import Sequence改为from typing import Any, Tuple, Sequence, Union（-/+行）和第6行新增from .npcompat import DTypeLike（+行），按A-3属模块级导入编辑；(2)PandasIndexAdapter.__init__签名新增类型注解且方法体新增else: dtype = np.dtype(dtype)（+1228~1243行）；(3)PandasIndexAdapter.dtype属性新增返回类型注解-> np.dtype（+1243行）；(4)PandasIndexAdapter.__array__签名新增类型注解（+1251行）；(5)PandasIndexAdapter.shape属性新增返回类型注解（+1262行）；(6)PandasIndexAdapter.__getitem__签名新增类型注解（+1268~1274行）；(7)PandasIndexAdapter.transpose新增返回类型注解（+1310行）；(8)PandasIndexAdapter.__repr__新增返回类型注解（+1313行）；(9)PandasIndexAdapter.copy为新增方法（+1317~1327行），按A-2属新增编辑实体；(10)variable.py中IndexVariable.copy方法体将分支逻辑简化为data = self._data.copy(deep=deep)（+1942~1945行）。自动映射遗漏了模块级导入和新增的copy方法，且错误地将PandasIndexAdapter类整体列为编辑实体（类本身未被新增或删除，仅内部方法和文档字符串被修改，按A-2不应列出）
A	GT-027	matplotlib__matplotlib-26208	正确	否	否	5	lib/matplotlib/axes/_base.py::matplotlib.axes._base._AxesBase.twinx lib/matplotlib/axes/_base.py::matplotlib.axes._base._AxesBase.twiny	补丁仅涉及两处方法体修改：(1)_AxesBase.twinx方法内新增ax2.xaxis.units = self.xaxis.units（+4441行）；(2)_AxesBase.twiny方法内新增ax2.yaxis.units = self.yaxis.units（+4471行）
A	GT-045	matplotlib__matplotlib-22865	正确	否	否	5	lib/matplotlib/colorbar.py::matplotlib.colorbar.Colorbar._add_solids	补丁仅在Colorbar._add_solids方法体内修改dividers.set_segments调用逻辑（+651~657行），将原本固定切片np.dstack([X, Y])[1:-1]替换为根据self._extend_lower()和self._extend_upper()动态计算start_idx和end_idx的切片方式，以修复extend='both'时边界线条不绘制的问题
A	GT-020	django__django-11149	部分正确	是	是	5	django/contrib/admin/options.py::django.contrib.admin.options.InlineModelAdmin._has_any_perms_for_target_model django/contrib/admin/options.py::django.contrib.admin.options.InlineModelAdmin.has_add_permission django/contrib/admin/options.py::django.contrib.admin.options.InlineModelAdmin.has_change_permission django/contrib/admin/options.py::django.contrib.admin.options.InlineModelAdmin.has_delete_permission django/contrib/admin/options.py::django.contrib.admin.options.InlineModelAdmin.has_view_permission	补丁实际编辑5个实体：(1)新增方法InlineModelAdmin._has_any_perms_for_target_model（+2111行），按A-2属新增编辑实体；(2)InlineModelAdmin.has_add_permission方法体中auto_created分支从return self.has_view_permission(request, obj)改为return self._has_any_perms_for_target_model(request, ['change'])（+2124~2131行）；(3)has_change_permission同理（+2133~2135行）；(4)has_delete_permission同理（+2137~2139行）；(5)has_view_permission从内联权限检查改为调用self._has_any_perms_for_target_model(request, ['view', 'change'])（+2141~2145行）。无import变更。自动映射遗漏了新增方法_has_any_perms_for_target_model，且错误地将InlineModelAdmin类整体列为编辑实体（类本身未被新增或删除，按A-2不应列出）
A	GT-017	sphinx-doc__sphinx-7748	正确	否	否	5	sphinx/ext/autodoc/init.py::sphinx.ext.autodoc.init.DocstringSignatureMixin sphinx/ext/autodoc/init.py::sphinx.ext.autodoc.init.DocstringSignatureMixin._find_signature sphinx/ext/autodoc/init.py::sphinx.ext.autodoc.init.DocstringSignatureMixin.get_doc sphinx/ext/autodoc/init.py::sphinx.ext.autodoc.init.DocstringSignatureMixin.format_signature sphinx/ext/autodoc/init.py::sphinx.ext.autodoc.init.FunctionDocumenter.format_signature	补丁涉及5个实际编辑：(1)DocstringSignatureMixin类体中新增两个类属性_new_docstrings = None和_signatures = None（+1036~1037行），属于对类定义的赋值编辑；(2)DocstringSignatureMixin._find_signature方法体重写，将valid_names构建提前，外层循环从for i, doclines变为双层for i, doclines / for j, line，新增多行签名（multiline）支持和self._signatures.append收集后续签名（+1038~1071行）；(3)DocstringSignatureMixin.get_doc方法体将getattr调用改为直接访问self._new_docstrings（+1076~1079行）；(4)DocstringSignatureMixin.format_signature新增if self._signatures分支，用换行符拼接多签名（+1088~1095行）；(5)FunctionDocumenter.format_signature新增documenter.objpath = [None]行（+1205行）
A	GT-030	pydata__xarray-3993	正确	否	否	5	xarray/core/dataarray.py::xarray.core.dataarray.DataArray.integrate xarray/core/dataset.py::xarray.core.dataset.Dataset.integrate	补丁仅涉及两个文件中的两个方法体编辑：(1)dataarray.py中DataArray.integrate签名从(self, dim, datetime_unit=None)改为(self, coord=None, datetime_unit=None, *, dim=None)，方法体内新增dim与coord互斥检查和dim到coord的弃用迁移逻辑（+3481~3534行）；(2)dataset.py中Dataset.integrate签名新增类型注解coord: Union[...]和datetime_unit: str = None、返回类型注解-> "Dataset"，并修改文档字符串（+5963~5974行）
A	GT-051	scikit-learn__scikit-learn-12973	正确	否	否	5	sklearn/linear_model/least_angle.py::sklearn.linear_model.least_angle.LassoLarsIC.fit	补丁仅修改LassoLarsIC.fit方法体：签名参数copy_X=True改为copy_X=None（+1479行），文档字符串中默认值说明相应更新（+1490~1493行），方法体内新增if copy_X is None: copy_X = self.copy_X（+1500~1501行），并将LinearModel._preprocess_data调用的末参数从self.copy_X改为局部变量copy_X（+1504~1505行）
A	GT-004	django__django-13569	错误	是	否	5	django/db/models/functions/math.py::django.db.models.functions.math.Random.get_group_by_cols	补丁仅在Random类中新增方法get_group_by_cols（+157~158行，方法体return []），按A-2新增方法属编辑实体，应以方法级全限定名列出
A	GT-059	pylint-dev__pylint-4970	正确	否	否	5	pylint/checkers/similar.py::pylint.checkers.similar.Similar.run	补丁仅在Similar.run方法体开头新增if self.min_lines == 0: return两行（+390~391行），使min_lines为0时跳过重复代码检测
A	GT-039	mwaskom__seaborn-3069	正确	否	否	5	seaborn/_core/plot.py::模块级导入 seaborn/_core/plot.py::seaborn._core.plot.Plotter._setup_scales seaborn/_core/plot.py::seaborn._core.plot.Plotter._finalize_figure	补丁涉及三处实际编辑：(1)第25行导入语句从from seaborn._core.scales import Scale变更为+from seaborn._core.scales import Scale, Nominal，按A-3属模块级导入编辑实体；(2)Plotter._setup_scales方法体内删除局部导入from seaborn._core.scales import Nominal（-1238行），因该导入已提升至模块级；(3)Plotter._finalize_figure方法体新增axis_obj = getattr(ax, f"{axis}axis")和Nominal尺度特殊处理逻辑（+1630~1644行），包括禁用网格、设置±0.5边界及y轴反转
A	GT-002	pylint-dev__pylint-4661	部分正确	是	否	4	pylint/config/init.py::模块级导入 pylint/config/init.py::pylint.config	补丁涉及两个文件：(1)pylint/config/__init__.py中新增+import appdirs（+36行），按A-3属模块级导入编辑实体；同时模块级PYLINT_HOME赋值从os.path.join(USER_HOME, ".pylint.d")改为appdirs.user_cache_dir("pylint")并新增old_home检查逻辑（+65~73行），属于模块级代码编辑。(2)setup.cfg中新增依赖appdirs>=1.4.0、isort配置及mypy配置，该文件为项目配置文件非Python源码，无代码实体可映射，"(无)"正确
A	GT-024	sphinx-doc__sphinx-9229	部分正确	是	是	5	sphinx/ext/autodoc/init.py::sphinx.ext.autodoc.init.ClassDocumenter.get_doc sphinx/ext/autodoc/init.py::sphinx.ext.autodoc.init.ClassDocumenter.get_variable_comment sphinx/ext/autodoc/init.py::sphinx.ext.autodoc.init.ClassDocumenter.add_content	补丁实际编辑三个方法：(1)ClassDocumenter.get_doc中doc_as_attr分支从直接return None改为先调用self.get_variable_comment()，有comment则return []否则return None（+1676~1682行）；(2)新增方法ClassDocumenter.get_variable_comment（+1725~1732行），按A-2属新增编辑实体；(3)ClassDocumenter.add_content条件从if self.doc_as_attr:改为if self.doc_as_attr and not self.get_variable_comment():（+1735行）。无import变更。自动映射遗漏新增方法get_variable_comment，且错误地将ClassDocumenter类整体列为编辑实体（类本身未被新增或删除，按A-2不应列出）
A	GT-037	django__django-13158	正确	否	否	5	django/db/models/sql/query.py::django.db.models.sql.query.Query.clone django/db/models/sql/query.py::django.db.models.sql.query.Query.set_empty	补丁仅涉及两处方法体编辑：(1)Query.clone方法内新增obj.combined_queries = tuple(query.clone() for query in self.combined_queries)（+305行），使clone时也深拷贝组合查询；(2)Query.set_empty方法内新增for循环for query in self.combined_queries: query.set_empty()（+1778~1779行）
A	GT-011	django__django-16263	部分正确	否	否	5	django/db/models/expressions.py::django.db.models.expressions.BaseExpression.get_refs django/db/models/expressions.py::django.db.models.expressions.Ref.get_refs django/db/models/query_utils.py::django.db.models.query_utils.Q.resolve_expression django/db/models/query_utils.py::django.db.models.query_utils.refs_expression django/db/models/sql/query.py::django.db.models.sql.query.Query.get_aggregation django/db/models/sql/query.py::django.db.models.sql.query.Query.solve_lookup_type django/db/models/sql/query.py::django.db.models.sql.query.Query.build_filter django/db/models/sql/query.py::django.db.models.sql.query.Query._add_q django/db/models/sql/where.py::django.db.models.sql.where.WhereNode.get_refs	补丁实际编辑9个实体：(1)BaseExpression.get_refs新增方法（+405行）；(2)Ref.get_refs新增方法（+1173行）；(3)Q.resolve_expression传递summarize=summarize参数（+90行）；(4)refs_expression返回值从(annotations[...], ...)改为(level_n_lookup, ...)和从(False, ())改为(None, ())（+359行）；(5)Query.get_aggregation中existing_annotations计算逻辑重写、新增annotation_mask收集与replace_expressions调用、子查询推送逻辑修改（+441~534行）；(6)Query.solve_lookup_type签名新增summarize=False参数并新增Ref包装逻辑（+1214行）；(7)Query.build_filter签名新增summarize=False并传递（+1363行）；(8)Query._add_q签名新增summarize=False并传递（+1557行）；(9)WhereNode.get_refs新增方法（+227行）。自动映射正确覆盖了6个方法编辑实体，但将BaseExpression、Ref、WhereNode三个类整体列为编辑实体——这些类本身未被新增或删除，仅新增了其中方法，按A-2不应列出类而应列新增方法
A	GT-008	django__django-16819	正确	否	否	5	django/db/migrations/operations/models.py::django.db.migrations.operations.models.AddIndex.reduce	补丁仅有一处实际变更：在AddIndex类中新增reduce方法（+861~866行，含方法定义及方法体4行）。该方法检查若operation为RemoveIndex且索引名称匹配则返回空列表以消除该操作对
A	GT-028	mwaskom__seaborn-3187	正确	否	否	5	seaborn/_core/scales.py::seaborn._core.scales.ContinuousBase._setup seaborn/utils.py::seaborn.utils.locator_to_legend_entries	补丁涉及两处方法/函数体编辑：(1)scales.py中ContinuousBase._setup方法体新增if hasattr(axis.major.formatter, "set_useOffset")和if hasattr(axis.major.formatter, "set_scientific")两个if块（+378~386行），用于禁用图例中formatter的偏移量和科学计数法；(2)utils.py中locator_to_legend_entries函数体内ScalarFormatter实例化后新增formatter.set_useOffset(False)和formatter.set_scientific(False)两行（+699~701行）
A	GT-055	django__django-16082	正确	否	否	5	django/db/models/expressions.py::django.db.models.expressions._connector_combinations	补丁仅在模块级变量_connector_combinations的connector in (...)元组中新增Combinable.MOD一行（+533行），属于模块级赋值编辑
